City,County,Code,Site,Waste Type,Waste Sub-Type,Description,Category,Label,Volume in mt,Increase,BQ,Radionuclides
PARIS 15,Paris,75115,INSTITUT PASTEUR DE PARIS - ALL THE RESEARCH UNITS OF THE INSTITUT PASTEUR,,,DGD - Declining managed waste,Very short life,DGD,"0,76",,-,"32P,33P,125I"
LES ABYMES,Guadeloupe,97101,INSTITUT PASTEUR DE GUADELOUPE - MYCOBACTERIA LABORATORY - BIOMEDICAL RESEARCH,,,DGD - Declining managed waste,Very short life,DGD,"0,001",,-,35S
VILLEBON-SUR-YVETTE,Essonne,91661,ONCODESIGN - CELLULAR BIOLOGY - RADIO-IMMUNO-ANALYSIS,,,DGD - Declining managed waste,Very short life,DGD,3,,-,125I
LES ULIS,Essonne,91692,IPSEN INNOVATION - HENRI BEAUFOUR INSTITUTE - Competent Department in Radiation Protection,,,DGD - Declining managed waste,Very short life,DGD,"0,059",,-,125I
ROSCOFF,Finistère,29239,BIOLOGICAL STATION - UMR8227 - UMR7144,,,DGD - Declining managed waste,Very short life,DGD,"0,05",,-,"32P,35S"
LYON,Rhône,69123,CNRS - DR7 - PROTEIN BIOLOGY AND CHEMISTRY INSTITUTE - UMS 3760,,,DGD - Declining managed waste,Very short life,DGD,1,,-,32P
CAEN,Calvados,14118,University of Caen Basse-Normandie - Radiation Protection Center - IMOGERE technical platform,,,DGD - Declining managed waste,Very short life,DGD,"0,98",,-,"32P,35S,125I"
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,UNIVERSITY OF LORRAINE - UMR 7365 CNRS - MOLECULAR ENGINEERING AND JOINT PHYSIOPATHOLOGY (IMOPA),,,DGD - Declining managed waste,Very short life,DGD,"0,5",,-,"32P,35S"
NANTES,Loire-Atlantique,44109,UNIVERSITE DE NANTES - EMN - IN2P3 - ARMINES - IN2P3 - CNRS - LABO. SUBATOMIC PHYSICS AND ASSOCIATED TECHNOLOGIES (SUBATECH),,,DGD - Declining managed waste,Very short life,DGD,"0,2",,-,"95Zr,123I,125I,131I,99mTc"
NICE,Alpes-Maritimes,6088,"COTE D&#39;AZUR UNIVERSITY - FACULTY OF MEDICINE - IRCAN INSERM U1081, CNRS UMR 7284",,,DGD - Declining managed waste,Very short life,DGD,"0,44",,-,32P
NICE,Alpes-Maritimes,6088,NICE CHU - ARCHET HOSPITAL - INSERM UMR 1065 C3M - ARCHIMED BUILDING,,,DGD - Declining managed waste,Very short life,DGD,"0,1",,-,32P
VALBONNE,Alpes-Maritimes,6152,CNRS - UNIVERSITY OF NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - INSTITUTE OF PHARMACOLOGY - UMR 7275 - BIOLOGICAL RESEARCH,,,DGD - Declining managed waste,Very short life,DGD,"0,6",,-,"32P,35S,125I"
MONT-SAINT-AIGNAN,Seine-Maritime,76451,UNIVERSITY OF ROUEN - INSERM - U1239,,,DGD - Declining managed waste,Very short life,DGD,1,,-,125I
LA TRONCHE,Isère,38516,UNIVERSITY OF GRENOBLES ALPES - FACULTY OF MEDICINE OF GRENOBLE - INSERM U1039 - BIOCLINICAL RADIOPHARMACEUTICALS,,,DGD - Declining managed waste,Very short life,DGD,"0,4",,-,"18F,68Ga,125I,201Tl,99mTc,177Lu"
ILLKIRCH-GRAFFENSTADEN,Bas-Rhin,67218,UNIVERSITY OF STRASBOURG - IREBS - UMR 7242,,,DGD - Declining managed waste,Very short life,DGD,"0,18",,-,"32P,35S,125I"
ILLKIRCH-GRAFFENSTADEN,Bas-Rhin,67218,UNIVERSITY OF STRASBOURG - IGBMC - INSERM U1258 - CNRS UMR 7104,,,DGD - Declining managed waste,Very short life,DGD,"0,6",,-,32P
STRASBOURG,Bas-Rhin,67482,UNIVERSITE DE STRASBOURG - CNRS - INSTITUT DE BIOLOGY MOLECULAR DES PLANTES (IBMP) - UPR 2357,,,DGD - Declining managed waste,Very short life,DGD,"0,115",,-,"32P,35S"
STRASBOURG,Bas-Rhin,67482,INSTITUT DE BIOLOGY MOLECULAR ET CELLULAR (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L&#39;ARN,,,DGD - Declining managed waste,Very short life,DGD,"0,12",,-,"32P,35S"
PARIS 06,Paris,75106,PARIS V UNIVERSITY - RENE DESCARTES - FACULTY OF PHARMACY - CNRS - UMR 8015 BIOLOGICAL CRISTALLOGRAPHY AND NMR LABORATORY,,,DGD - Declining managed waste,Very short life,DGD,"0,05",,-,"32P,35S"
PARIS 05,Paris,75105,UNIVERSITY SORBONNE - JUSSIEU CAMPUS - ER3 - UR4 - UMR 7224 - UMR 7195 - UMR 7622,,,DGD - Declining managed waste,Very short life,DGD,"2,23",,-,"32P,33P,35S,125I"
VILLEFRANCHE-SUR-MER,Alpes-Maritimes,6159,CNRS-SORBONNE UNIVERSITY - IMEV-UMR7009 DEVELOPMENTAL BIOLOGY,,,DGD - Declining managed waste,Very short life,DGD,"0,015",,-,"32P,35S"
BORDEAUX,Gironde,33063,UNIVERSITY OF BORDEAUX - FUNDAMENTAL MICROBIOLOGY AND PATHOGENICITY - UMR CNRS 5234,,,DGD - Declining managed waste,Very short life,DGD,"0,12",,-,32P
BOURG-EN-BRESSE,Ain,1053,INOL NUCLEAR IMAGING OF WEST LYONNAIS AND AIN - NUCLEAR MEDICINE - BOURG EN BRESSE,,,DGD - Declining managed waste,Very short life,DGD,"0,4",,-,"18F,131I,99mTc"
SOISSONS,Aisne,2722,GIE GAMMA 02 - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,"5,75",,-,"18F,67Ga,99Mo,111In,201Tl,99mTc"
SAINT-QUENTIN,Aisne,2691,SAINT-CLAUDE ISOTOPIC EXPLORATION CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"0,1",,-,"18F,67Ga,111In,123I,201Tl,99mTc"
MONTLUCON,Allier,3185,MONTLUÇON HOSPITAL CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"2,5",,-,"99Mo,123I,99mTc"
NICE,Alpes-Maritimes,6088,NICE CHU - PASTEUR HOSPITAL - BIOCHEMISTRY,,,DGD - Declining managed waste,Very short life,DGD,"0,46",,-,125I
SAINT-LAURENT-DU-VAR,Alpes-Maritimes,6123,ARNAULT TZANCK INSTITUTE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,"0,1",,-,"99Mo,111In,123I,99mTc"
RODEZ,Aveyron,12202,JACQUES PUEL HOSPITAL CENTER - NUCLEAR MEDICINE DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,7,,-,"18F,123I,131I,201Tl,99mTc"
AIX-EN-PROVENCE,Bouches-du-Rhône,13001,PAYS D&#39;AIX HOSPITAL CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,1,,-,"18F,123I,99mTc"
MARSEILLE,Bouches-du-Rhône,13055,APHM - LA TIMONE CHU - CENTRAL DEPARTMENT OF BIOPHYSICS AND NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY - RADIOANALYSIS,,,DGD - Declining managed waste,Very short life,DGD,"61,95",,-,"111In,123I,125I,131I,201Tl,99mTc"
MARSEILLE,Bouches-du-Rhône,13055,APHM - CHU NORD - NUCLEAR MEDICINE SERVICE,,,DGD - Declining managed waste,Very short life,DGD,"2,5",,-,"67Ga,111In,201Tl,99mTc"
AUBAGNE,Bouches-du-Rhône,13005,SCINTI 13 PRIVATE HOSPITAL LA CASAMANCE - NUCLEAR MEDICINE / PHARMACOLOGY / RADIOTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,"7,5",,-,"18F,201Tl,99mTc"
CAEN,Calvados,14118,FRANÇOIS BACLESSE CENTER - CANCER RESEARCH AND FIGHT CENTER - NUCLEAR MEDICINE - TOXEMAC - RADIOTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,30,,-,"18F,32P,111In,131I,99mTc,177Lu"
CAEN,Calvados,14118,CHU DE CAEN - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"0,3",,-,"67Ga,111In,123I,131I,201Tl,99mTc"
CAEN,Calvados,14118,PARK POLYCLINIC - NUCLEAR MEDICINE DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,22,,-,99mTc
SAINT-MICHEL,Charente,31505,ANGOULÊME HOSPITAL CENTER - GIRAC HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,6,,-,"201Tl,99mTc"
LA ROCHELLE,Charente-Maritime,17300,RADIOISOTOPIC IMAGING CENTER (CIRI) - NUCLEAR MEDICINE LA ROCHELLE,,,DGD - Declining managed waste,Very short life,DGD,"0,5",,-,"18F,67Ga,111In,123I,131I,99mTc"
SAINT-DOULCHARD,Cher,18205,SCM INOV - SCINTIGRAPHY AND NUCLEAR MEDICINE SERVICES - GUILLAUME DE VARYE CLINIC,,,DGD - Declining managed waste,Very short life,DGD,5,,-,"18F,123I,99mTc"
AJACCIO,Corse-du-Sud,2A004,GIP Nuclear medicine CHD CASTELLUCCIO - Scintigraphy service,,,DGD - Declining managed waste,Very short life,DGD,3,,-,99mTc
DIJON,Côte-d'Or,21231,GEORGES-FRANCOIS LECLERC CENTER - REGIONAL CENTER FOR THE FIGHT AGAINST CANCER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"62,5",,-,"111In,123I,131I,201Tl,99mTc,177Lu"
DIJON,Côte-d'Or,21231,DIJON CHU - BOCAGE HOSPITAL - HOSPITALIZATION DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,2,,-,"129I,99mTc,90Y,177Lu"
SAINT-BRIEUC,Côtes-d'Armor,22278,SAINT-BRIEUC HOSPITAL CENTER - YVES LE FOLL HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,10,,-,"67Ga,111In,123I,131I,201Tl,99mTc"
PERIGUEUX,Dordogne,24322,FRANCHEVILLE NUCLEAR MEDICINE CENTER - FRANCHEVILLE POLYCLINIC - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,1,,-,"67Ga,111In,131I,201Tl,99mTc"
TREVENANS,Territoire de Belfort,90097,GIE NUCLEAR MEDICINE - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,20,,-,"18F,111In,123I,131I,201Tl,99mTc"
VALENCE,Drôme,26362,VALENCE HOSPITAL CENTER - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,"0,38",,-,"18F,111In,123I,131I,201Tl,99mTc"
EVREUX,Eure,27229,BERGOUIGNAN CLINIC - NUCLEAR MEDICINE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,"0,3",,-,"201Tl,99mTc"
EVREUX,Eure,27229,EUROIS GROUP OF MEDICAL IMAGING - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"0,5",,-,"201Tl,99mTc"
BREST,Finistère,29019,REGIONAL UNIVERSITY HOSPITAL CENTER OF BREST - AUGUSTIN MORVAN HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,40,,-,"18F,68Ga,123I,131I,99mTc,177Lu"
BREST,Finistère,29019,BREST REGIONAL UNIVERSITY HOSPITAL CENTER - LA CAVALE BLANCHE HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,30,,-,"111In,123I,125I,201Tl,99mTc"
QUIMPER,Finistère,29232,GEORGES CHARPAK CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"2,5",,-,"18F,99Mo,111In,123I,99mTc"
NIMES,Gard,30189,CHU - CAREMEAU HOSPITAL - NUCLEAR MEDICINE AND MEDICAL BIOPHYSICS DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,2,,-,"18F,123I,131I,99mTc,90Y,177Lu"
NIMES,Gard,30189,SCINTIGARD - NUCLEAR MEDICINE - NIMES,,,DGD - Declining managed waste,Very short life,DGD,"7,7",,-,"123I,99mTc"
TOULOUSE,Haute-Garonne,31555,CHU - PURPAN HOSPITAL - IFB BIOCHEMISTRY LABORATORY,,,DGD - Declining managed waste,Very short life,DGD,2,,-,125I
TOULOUSE,Haute-Garonne,31555,CHU - RANGUEIL HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,4,,-,"123I,99mTc"
CORNEBARRIEU,Haute-Garonne,31150,CÉDRES CLINIC - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"5,2",,-,"111In,123I,201Tl,99mTc"
TOULOUSE,Haute-Garonne,31555,"MOLECULAR AND FUNCTIONAL IMAGING CENTER (CIMOF) - NUCLEAR MEDICINE DEPARTMENT, CLINIQUE PASTEUR (SMNP)",,,DGD - Declining managed waste,Very short life,DGD,"10,4",,-,"18F,123I,201Tl,99mTc"
TALENCE,Gironde,33522,BORDEAUX CHU - HAUT LEVEQUE HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,30,,-,"18F,123I,125I,131I,99mTc,177Lu"
TALENCE,Gironde,33522,BORDEAUX CHU - PELLEGRIN HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY - BIOLOGY,,,DGD - Declining managed waste,Very short life,DGD,2,,-,"67Ga,123I,99mTc,90Y"
BORDEAUX,Gironde,33063,BORDEAUX NORD AQUITAINE POLYCLINIC - NUCLEAR MEDICINE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,18,,-,"18F,67Ga,111In,123I,131I,99mTc"
BEZIERS,Hérault,34032,LIBERAL CENTER FOR NUCLEAR MEDICINE / SCP - SCINTIGRAPHY/TEP-SCAN,,,DGD - Declining managed waste,Very short life,DGD,5,,-,"18F,111In,123I,131I,201Tl,99mTc"
MONTPELLIER,Hérault,34172,CLEMENTVILLE CLINIC - RADIOTHERAPY CENTER - BRACHYTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,"0,027",,-,125I
RENNES,Ille-et-Vilaine,35238,EUGENE MARQUIS CENTER - REGIONAL CENTER FOR THE FIGHT AGAINST CANCER - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOANALYSIS,,,DGD - Declining managed waste,Very short life,DGD,15,,-,"111In,123I,131I,153Sm,99mTc,177Lu"
BESANCON,Doubs,25056,SAINT VINCENT NUCLEAR MEDICINE EIG - NUCLEAR MEDICINE CENTER,,,DGD - Declining managed waste,Very short life,DGD,2,,-,"123I,131I,201Tl,99mTc"
TOURS,Indre-et-Loire,37261,REGIONAL UNIVERSITY HOSPITAL CENTER OF TOURS - TROUSSEAU HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,1,,-,"111In,123I,201Tl,99mTc"
TOURS,Indre-et-Loire,37261,CHU DE TOURS - BRETONNEAU HOSPITAL - NUCLEAR MEDICINE DEPARTMENT - IMAGING - THERAPY - BIOMEDICAL RESEARCH,,,DGD - Declining managed waste,Very short life,DGD,10,,-,"18F,68Ga,123I,131I,99mTc,177Lu"
CHAMBRAY-LES-TOURS,Indre-et-Loire,37050,NUCLEAR MEDICINE TOURANGELLE - NUCLEAR MEDICINE CHAMBRAY-LES-TOURS,,,DGD - Declining managed waste,Very short life,DGD,"0,3",,-,"57Co,18F,99Mo,111In,123I,99mTc"
GRENOBLE,Isère,38185,SCINTEP - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,1,,-,"18F,123I,201Tl,99mTc"
BLOIS,Loir-et-Cher,41018,BLESOIS AND REGIONAL SCINTIGRAPHIC IMAGING CENTER (CIBER) - BLOIS HOSPITAL CENTER - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,2,,-,99mTc
SAINT-ETIENNE,Loire,42218,CHU DE ST ETIENNE - NORTH HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,3,,-,"18F,68Ga,111In,131I,99mTc,90Y"
ROANNE,Loire,42187,RENAISON CLINIC - NUCLEAR IMAGING CENTER (CIN) - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,"0,7",,-,"18F,67Ga,123I,131I,201Tl,99mTc"
MOUGINS,Alpes-Maritimes,6085,NUCLEAR IMAGING CENTER (SELARL CIN) - PLEIN CIEL CLINIC - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"0,15",,-,"18F,111In,123I,131I,99mTc"
NANTES,Loire-Atlantique,44109,CHU - GUILLAUME AND RENE LAENNEC HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,7,,-,"123I,201Tl,99mTc"
NANTES,Loire-Atlantique,44109,CHU DE NANTES - HOTEL DIEU - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,35,,-,"111In,123I,125I,131I,99mTc,177Lu"
ORLEANS,Loiret,45234,ORLEANS REGIONAL HOSPITAL CENTER - NUCLEAR MEDICINE LA SOURCE,,,DGD - Declining managed waste,Very short life,DGD,3,,-,"18F,111In,123I,131I,201Tl,99mTc"
AGEN,Lot-et-Garonne,47001,AGEN SAINT-ESPRIT HOSPITAL CENTER - NUCLEAR MEDICINE - SCINTIGRAPHY - BIOPHYSICS,,,DGD - Declining managed waste,Very short life,DGD,"15,779",,-,"67Ga,111In,123I,131I,201Tl,99mTc"
ANGERS,Maine-et-Loire,49007,ANGERS CHU - LARREY HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,10,,-,"68Ge,18F,111In,123I,131I,99mTc"
REIMS,Marne,51454,ICCREIMS POLYCLINIC OF COURLANCY - BRACHYTHERAPY,,,DGD - Declining managed waste,Very short life,DGD,"0,002",,-,"192Ir,125I"
CHAUMONT,Haute-Marne,61103,CHAUMONT HOSPITAL CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,3,,-,"111In,123I,131I,153Sm,201Tl,99mTc"
MAXEVILLE,Meurthe-et-Moselle,54357,LORRAIN ISOTOPIC IMAGING CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,30,,-,"57Co,68Ge,18F,99Mo,201Tl,99mTc"
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,54547,CHRU NANCY - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY - HBA BIOLOGY,,,DGD - Declining managed waste,Very short life,DGD,30,,-,"18F,68Ga,125I,131I,99mTc,177Lu"
VANNES,Morbihan,56260,MORBIHAN NUCLEAR MEDICINE CENTER - BRITTANY ATLANTIC HOSPITAL CENTER - SCINTIGRAPHY - POSITRON EMISSION TOMOGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,8,,-,"18F,123I,99mTc"
METZ,Moselle,57463,METZ-THIONVILLE REGIONAL HOSPITAL CENTER - MERCY HOSPITAL - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,"1,1",,-,"18F,111In,123I,131I,201Tl,99mTc"
VILLENEUVE-D'ASCQ,Nord,59009,RADIOLOGICAL CLINIC OF THE IMANORD HPVA PARK - NUCLEAR MEDICINE DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,"0,5",,-,"67Ga,111In,123I,131I,201Tl,99mTc"
LILLE,Nord,59350,LILLE UNIVERSITY REGIONAL HOSPITAL CENTER - CLAUDE HURIEZ HOSPITAL - NUCLEAR MEDICINE DEPARTMENT,,,DGD - Declining managed waste,Very short life,DGD,8,,-,"18F,111In,123I,131I,99mTc,90Y"
LILLE,Nord,59350,LILLE UNIVERSITY REGIONAL HOSPITAL CENTER - ROGER SALENGRO HOSPITAL - NUCLEAR MEDICINE - FUNCTIONAL IMAGING,,,DGD - Declining managed waste,Very short life,DGD,100,,-,"18F,123I,131I,99mTc,90Y,177Lu"
VALENCIENNES,Nord,59606,VALENCIENNES HOSPITAL CENTER - NUCLEAR MEDICINE,,,DGD - Declining managed waste,Very short life,DGD,3,,-,"18F,123I,99mTc"
CREIL,Oise,60175,CIRIOS - NUCLEAR MEDICINE CREIL,,,DGD - Declining managed waste,Very short life,DGD,1,,-,"18F,111In,123I,201Tl,99mTc"
BEAUVAIS,Oise,60057,BEAUVAIS HOSPITAL CENTER - SCINTIGRAPHY,,,DGD - Declining managed waste,Very short life,DGD,"2,6",,-,"111In,123I,201Tl,99mTc"
