County,Volume_in_mt,Waste_Type,Description,Site
Bouches-du-Rhône,0.0,Résidus de la production d'alumine de l'usine de Gardanne (boues rouges déhydratées),"Sludge composed of fine elements. Composed mainly of oxides: iron, aluminum, silicon, sodium, titanium and calcium (pH = 11) (7219967 t)",ALTEO - GARDANNE
Alpes-de-Haute-Provence,1.0,Déchets d'exploitation entreposés sur le site.,Liquid chemicals without spinnerets (1 m3),ANDRA SERVICE SOLUTIONS FOR CWPs - GANAGOBIE
Gironde,0.0,Pièces aéronautiques,Ignition box bulbs present on AST600 with tritium (0.2 m3 - 0.045 t - 44 units),AIR FORCE - AIA BORDEAUX
Gironde,0.0,Pièces aéronautiques,Unitary M53 tritium bulbs and M53 ignition boxes (0.3 m3 - 0.042 t - 377 unit),AIR FORCE - AIA BORDEAUX
Gironde,0.0,Pièces aéronautiques,GEM ignition box bulbs with tritium (0.2 m3 - 0.035 t - 37 units),AIR FORCE - AIA BORDEAUX
Gironde,0.0,Pièces aéronautiques,T56 ignition boxes containing a krypton 85 spark gap (0.1 m3 - 0.011 t - 11 units),AIR FORCE - AIA BORDEAUX
Gironde,0.0,Pièces aéronautiques,MTR390 ignition boxes with tritium spark gap (0.1 m3),AIR FORCE - AIA BORDEAUX
Puy-de-Dôme,0.0,Dechets Technologiques,Spare dials (0.1 m3 - 38 units),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0,Dechets Technologiques,Altimeter (0.1 m3 - 2 units),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0,Dechets Technologiques,Spherical repeater (0.1 m3 - 1 unit),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0,Dechets Technologiques,Clock Movement (0.1 m3 - 2 units),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0,Dechets Technologiques,Compass (0.1 m3 - 2 unit),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0, Autres Déchets,Transmitter/receiver (0.1 m3 - 1 unit),AIR ARMY - AIA CLERMONT-FERRAND
Puy-de-Dôme,0.0,Dechets Technologiques,Emergency Compass (0.1 m3 - 78 Compasses),AIR ARMY - AIA CLERMONT-FERRAND
Var,0.0,matériels avec peinture au tritium,39 materials with tritium paint (0.1 m3 - 0.004 t - 1 39 materials),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques contenant du tritium gazeux (H3),223 High Energy Casing Burst Tubes (223 tubes),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,indicateurs radioluminescents (tritium),654 Betalight (tritium) LEDs (654 Betalight),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),60 electron tubes containing Co60 (0.1 m3 - 0.01 t - 160 tubes),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,indicateurs radioluminescents (tritium),6 &quot;indicator plate&quot; labels (tritium) (6 labels),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),13 electronic tubes containing Ni63 (0.1 m3 - 0.002 t - 1 13 tubes),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),5 electron tubes containing H3 (5 tubes),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,indicateurs radioluminescents (tritium),4 luminous half-handles (4 half-handles),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,matières et matériels avec peinture au radium,11 materials (0.2 m3 - 0.02 t - 1 11 materials),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques (Cs 137 ou Ra 226),30 burst tubes (Cs 137) (0.002 m3 - 0.001 t - 1 30 tubes),AIR FORCE - AIA CUERS PIERREFEU
Var,0.0,tubes électroniques (Cs 137 ou Ra 226),"7 tubes (Ra 226) (0,002 m3 - 0,001 t - 1 7 tubes)",AIR FORCE - AIA CUERS PIERREFEU
Morbihan,0.0,"matériel historique
",Ni63 radionuclide for TR tube (0.03 m3 - 2 tube),AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel historique,radionuclide Ra226 luminescent paint (0.03 m3 - 2 indicators),AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel marine nationale retiré des OAE - 3,radionuclide H3 luminescent paint (0.001 m3 - 24 160 UN01 AA50T),AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel marine nationale retiré des OAE - 1,radionuclide H3 luminescent paint (0.001 m3 - 41 120 UN01 AA50T ),AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel marine nationale retiré des OAE - 2,"radionuclide H3 luminescent paint (0.001 m3 - 1,260 UN01 CC50T)",AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel marine nationale retiré des OAE - 4,radionuclide tritium luminescent paint (0.001 m3 ),AIR FORCE - AIA OF BRITTANY
Morbihan,0.0,matériel marine nationale retiré des OAE - 5,radionuclide Ra226 luminescent paint (0.001 m3 - 28 Colignon compass),AIR FORCE - AIA OF BRITTANY
Eure,0.0,dechets trities electroluminescent,FAMAS alidade and slider (1.2 m3 - 6 drums of 200 L),AIR FORCE - BA 105 EVREUX
Eure,0.0,retrait de service de l'avion C160,small tritiated materials (1 drums),AIR FORCE - BA 105 EVREUX
Eure,0.0,divers cadrans et plaquettes aéonautique,small radium materials (1 drum),AIR FORCE - BA 105 EVREUX
Yvelines,0.0,Éléments tritiés des Famas,Objects containing four radio-luminescent pellets (0.2 m3 - 1 drum),AIR FORCE - BA 107 VILLACOUBLAY
Yvelines,0.0,Éléments tritiés des Famas,Objects containing a radio-luminescent pellet (0.2 m3 - 1 drum),AIR FORCE - BA 107 VILLACOUBLAY
Haute-Marne,0.0,Elements radioluminescents d'armement,FAMAS sight sets (0.4 m3 - 2 barrels),AIR ARMY - BA 113
Haute-Marne,0.0,Elements radioluminescents d'armement,AA 52 sights (0.2 m3 - 1 drum),AIR ARMY - BA 113
Haute-Marne,0.0,Elements radioluminescents d'armement,Elements of Russian tanks (0.5 m3 - 1 lot),AIR ARMY - BA 113
Haute-Marne,0.0,Elements radioluminescents d'armement,JAGUAR laser rangefinder (0.1 m3 - 1 object),AIR ARMY - BA 113
Haute-Marne,0.0,Elements radioluminescents d'armement,Fouga Magister Dashboard (0.1 m3 - 1 Lot),AIR ARMY - BA 113
Vaucluse,0.0,matériel terrestre,land material (1 m3 - 5 drums),AIR FORCE - BA 115 ORANGE
Vaucluse,0.0,Matériels aéronautiques,various aeronautical dials (0.2 m3 - 1 drum),AIR FORCE - BA 115 ORANGE
Vaucluse,0.0,Matériels aéronautiques,Electronic tubes (0.01 m3 - 2 tubes),AIR FORCE - BA 115 ORANGE
Landes,0.0,Plaques parlantes Crotale avec de peinture radioluminescente,64 Crotale plates with radioluminescent paint (0.2 m3 - 64 units),AIR ARMY - BA 118 MONT-DE-MARSAN
Landes,0.0,Déchets électroniques,"TV3309A (0,05 m3 - 17 tubes)",AIR ARMY - BA 118 MONT-DE-MARSAN
Landes,0.0,Déchets électroniques,"TR SIMPLE TV3008 (0,05 m3 - 30 unite)",AIR ARMY - BA 118 MONT-DE-MARSAN
Loiret,0.0,Déchets divers en fût : Tritium,Total weight of the various elements: 726 kg for a volume of 2.4 m3 (2.4 m3),AIR ARMY - BA 123rd
Loiret,0.0,Container crash avion: Tritium,Planes crashed (330 m3 - 10 lot),AIR ARMY - BA 123rd
Corse-du-Sud,0.0,Tubes électroniques,Out of service equipment removed from RADAR (0.3 m3 - 0.025 t - 32 tubes),AIR FORCE - BA 126 SOLENZARA
Meurthe-et-Moselle,0.0,Déchets technologiques,Tritium sighting devices (0.4 m3 - 2 barrels),AIR ARMY - BA 133 NANCY
Bouches-du-Rhône,0.0,Déchets de démantèlement,2 vacuum tubes OA2WA OB2WA (0.002 m3 - 2 Tube),AIR FORCE - BA 701 SALON DE PROVENCE
Cher,0.0,Sources de contrôle DOM 410 sans emploi,"Sealed sources, packaged in 200L drums of the VALDUC type (2 m3 - 10 drums)",ARMEE DE L&#39;AIR - BA 702 AVORD
Cher,0.0,Dispositif de visée AA52 Ra226,Pellet Ra226 - Radioluminescent paint (0.1 m3 - 8 units),ARMEE DE L&#39;AIR - BA 702 AVORD
Cher,0.0,Face parlante CROTALE EVA,Radioluminescent paint (0.4 m3 - 114 units),ARMEE DE L&#39;AIR - BA 702 AVORD
Cher,0.0,Dispositif de visée AA52 H3,Radioluminescent paint (0.1 m3 - 44 units),ARMEE DE L&#39;AIR - BA 702 AVORD
Cher,0.0,Détecteurs de fumée en attente de reprise,"DFCI (0,1 m3 - 14 units)",ARMEE DE L&#39;AIR - BA 702 AVORD
Indre-et-Loire,0.0,Déchets technologiques,Drum 120 l (0.12 m3 - 11 tubes),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 200 l (0.2 m3 - 2740 Aiming devices),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 200 l (0.2 m3 - 1736 Aiming devices),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 120 l (0.12 m3 - 7 sighting devices),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,200 l drum (0.2 m3 - 8 radioluminescent elements),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 200 l (0.2 m3 - 23 Radioluminescent elements),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,200 l drum (0.2 m3 - 34 radioluminescent elements),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 200 l (0.2 m3 - 744 Aiming Devices),AIR FORCE - BA 705 CINQ MARS
Indre-et-Loire,0.0,Déchets technologiques,Drum 120l (0.2 m3 - 11 Tablets),AIR FORCE - BA 705 CINQ MARS
Charente,0.0,Dispositif de visée tritium,1 barrel of 200 liters ANDRA model (0.2 m3 unit),AIR FORCE - BA 709 COGNAC
Charente,0.0,Dispositif de visée tritium,1 barrel of 200 liters ANDRA model (0.2 m3 unit),AIR FORCE - BA 709 COGNAC
Charente,0.0,compteurs avions anciens au radium,1 was containing 20 aircraft counters with radium paint (0.1 m3 unit),AIR FORCE - BA 709 COGNAC
Charente,0.0,80 électrodes thoriées 2% dans boite en bois,80 electrodes (0.02 m3 - 80 units),AIR FORCE - BA 709 COGNAC
Rhône,0.0,déchets technologiques,tritium sighting devices (0.4 m3 - 2 drums),AIR FORCE - BA 942 LYON
Rhône,0.0,déchets technologiques,"Guidon AA52 (0,01 m3 - 3 Guidon)",AIR FORCE - BA 942 LYON
Nouvelle-Calédonie,0.0,Boussole,Type SYLVA (7 Compasses),ARMEE DE TERRE - PARIS - RIMAP-NC
Nord,0.0,compteur Kilometrique,meter NNO 6680142429850 (1.8 m3 - 14 meter),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Nord,0.0,compteur vitesse,dashboard speedometer VAB NSN 6680143023665 (1.8 m3 - 52 meter),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Nord,0.0,thermométre EAU,dashboard water thermometer VAB NNO 6685142385996 (1.8 m3 - 42 water thermometer),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Nord,0.0,voltmétre,voltmeter 12 V VAB 6625142549161 (1.8 m3 - 42 voltmeter),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Nord,0.0,jauge combustible,fuel gauge VAB NNO 6680142222405 (1.8 m3 - 42 gauge),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Nord,0.0,tachymétre,VAB board tachometer (1.8 m3 - 42 tachometer),ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI
Gard,0.0,Déchets solides,Tritium compasses (1.872 m3 - 0.325 t - 5202 compasses),ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES
Gard,0.0,Déchets solides,Radium compasses (0.2 m3 - 0.045 t - 158 compasses),ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES
Gard,0.0,Déchets solides,"Dials, tritium indicators (0.467 m3 - 0.054 t - 1167 objects)",ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES
Gard,0.0,Déchets solides,Tritium sighting devices (0.057 m3 - 0.018 t - 2190 objects),ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES
Gard,0.0,Déchets solides,Radium sighting devices (0.1 m3 objects),ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES
Essonne,1700.0,Déchets,Land with an average 226Ra activity of 3 Bq/g (radium 226 in equilibrium with its descendants + presence of natural uranium) (1700 m3),A126 MOTORWAY - CHILLY-MAZRIN
Essonne,2200.0,Déchets,Rubble whose average natural U activity (uranium is not always in equilibrium with its descendants) is 2.8 Bq/g (2200 m3),A126 MOTORWAY - CHILLY-MAZRIN
Essonne,24511.2255,Déchets,Waste with the presence of natural uranium and thorium (uranium and thorium are not always in equilibrium with their descendants) (36765 t),MONTBOUCHER MOUND - MONTBOUCHER
Essonne,75.0,Déchets,Waste for which the overall activity in natural uranium and 226Ra is not significant (75 m3),MONTBOUCHER MOUND - MONTBOUCHER
Gard,0.0,Déchets d'exploitation et de maintenance,Unused sources (6 sealed and unsealed sources),CEA CIVIL - MARCOULE (ATALANTE - PHENIX)
Gard,0.0,Déchets de RCD,Alpha sources including 238Pu-based stimulators - sector 7 (362 sources),CEA CIVIL - MARCOULE (ATALANTE - PHENIX)
Gard,0.0,Déchets de RCD,Neutron sources - sector 7 (286 sources),CEA CIVIL - MARCOULE (ATALANTE - PHENIX)
Gard,0.009,Déchets dont la filière de gestion reste à définir (DSFI),Glittering liquids (0.009 m3),CEA CIVIL - MARCOULE (ATALANTE - PHENIX)
Essonne,0.0,Entreposage des sources,Unused sources of all kinds stored in the center&#39;s various facilities (1010 units),CEA DAM - BRUYERES-LE-CHATEL
Essonne,0.6,Déchets radioactifs conditionnés ou non et entreposés dans les installations,Drum 100L Powdery (6 Drum 100L),CEA DAM - BRUYERES-LE-CHATEL
Gironde,0.0,"Sources radioactives usagées, sans emploi",Waiting for evacuation (6 Unit),THE LADY - THE CUP
Marne,0.0,Stockage historique ,Wells containing experimental residues (100 wells),CEA DAM - MORONVILLIERS
Eure,0.0,Détecteurs d'incendie,DSCA3/6 sources manufactured by Amersham - 241Am (16702 unite),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Sources manufactured by NRD - 241 AM used for System Sensor detectors (42600 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,SAC3 - 241 Am sources manufactured by the CEA (0.001 unit),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,SAC3 - 238 Pu sources manufactured by the CEA (200 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,"Sources SECI11 241 Am, used for SO12 detectors (7000 units)",CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,"Sources EI1100 241 Am, used for EI1100 detectors (1 source holder is equipped with 2 sources of 16.7 KBq) (820 units)",CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Detector sources SO10-UD09 (1 source holder is equipped with 2 sources of 16.7 kBq) (3750 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Sources detectors siemens series F9 (30 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Esser detector sources type EI3000 (630 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Esser type 2000 detector sources (1200 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,IRM3 detector sources (540 units),CHUBB SECURITE - ACQUIGNY
Eure,0.0,Détecteurs d'incendie,Source detectors Ariane (10 units),CHUBB SECURITE - ACQUIGNY
Aisne,0.0,Déchets solides,Residues of sand and zircon powder mixed with other minerals (20 t),MINERALS AND RAW MATERIALS COUNTER - SAINT QUENTIN
Landes,0.0,Tube au krypton 85,Electron tube (0.001 m3 - 1 tube),DGA - MISSILE TESTS
Landes,0.0,Détecteur d'explosif au Ni63,Contains a sealed Ni63 source (0.001 m3 - 0.0001 t - 1 source),DGA - MISSILE TESTS
Landes,0.0,Traceur optique contenant du Th 232 (missile sol-sol anti-char BGM 71 A Basic TOW (US)),The Th232 source is housed in the optical tracer (0.00035 m3 - 0.0001 t - 1 1),DGA - MISSILE TESTS
Polynésie française,0.0,Déchets immergés au nord de l'atoll dans une fosse océanique par 2500 mètres de fond,"&quot;Hotel&quot; site (310 tonnes of waste conditioned in concrete drums and 222 tonnes of unconditioned waste, dumped in bulk between 1967 and 1975 over 1 km2) (532 t)",DGA-HAO
Vienne,0.48,Déchets  conditionnés,Waste without die (solid scintillating fiberglass filters) (4 drums F120),EUROFINS CEREP - PHARMACOLOGIE
Vienne,0.0,sources scellées usagées ,Scintillation counter calibration plates (top count Packard) (5 plates),EUROFINS CEREP - PHARMACOLOGIE
Nord,0.4,DEEE,DEEE (2 futs),FRAMATOME - MAUBEUGE SITE
Drôme,57.2286,Déchets issus de l'INB 98,Miscellaneous sludge (38.28 t),FRAMATOME - SITE OF NOVELS
Drôme,10.26,Déchets issus de l'INB 98,Zircalloy-contaminated waste (3.94 t),FRAMATOME - SITE OF NOVELS
Drôme,69.86,Déchets issus de l'INB 98,Porogen and lubricant (16.56 t),FRAMATOME - SITE OF NOVELS
Drôme,47.02,Déchets issus de l'INB 98,Oils (46.54 t),FRAMATOME - SITE OF NOVELS
Drôme,28.66136,Déchets issus de l'INB 98,Laboratory effluents (28.21 t),FRAMATOME - SITE OF NOVELS
Drôme,4.34,Déchets issus de l'INB 98,Solvents (6.8 t),FRAMATOME - SITE OF NOVELS
Drôme,2.98,Déchets issus de l'INB 63,Various sludges (1.35 t),FRAMATOME - SITE OF NOVELS
Drôme,15.65,Déchets issus de l'INB 63,Oils (18.05 t),FRAMATOME - SITE OF NOVELS
Drôme,0.43,Déchets issus de l'INB 63,Waste contaminated with zircalloy (0.08 t),FRAMATOME - SITE OF NOVELS
Drôme,0.060016,Déchets issus de l'INB 63,Laboratory effluents (0.062 t),FRAMATOME - SITE OF NOVELS
Mayotte,0.0,Boussoles,SILVA compasses (13 SILVA compasses),GENDARMERIE - COMGEND MAYOTTE
Guadeloupe,0.0,Eléments constitutifs d'armes,Allies of tendu shooting / FAMAS (276 tendu shooting allies),GENDARMERIE - CDT GUADELOUPE
Guadeloupe,0.0,Eléments constitutifs d'armes,Night firing slides / FAMAS (276 firing slides),GENDARMERIE - CDT GUADELOUPE
Yvelines,0.0,Éléments constitutifs d'armes,Tendu Shooting Allies / FAMAS (2 FAMAS Tendu Shooting Allies),GENDARMERIE - CFAGN
Yvelines,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (2 FAMAS Night Firing Slides),GENDARMERIE - CFAGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,Tendu Shooting Allies / FAMAS (145 FAMAS Tendu Shooting Allies),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (145 FAMAS Night Firing Slides),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,FSA 49/56 handlebars (4 FSA 49/56 handlebars),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,AA 52 handlebars (5 AA 52 handlebars),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,FAMAS handlebars (164 FAMAS handlebars),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Éléments constitutifs d'armes,Handguard grips (158 handguard grips),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Boussoles,SILVA compasses (256 SILVA compasses),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Boussoles,MLE 22 compasses (1 MLE 22 compass),GENDARMERIE - CTGN
Seine-Saint-Denis,0.0,Matériels transmissions,Card readers (6 card reader),GENDARMERIE - CTGN
Seine-et-Marne,0.0,Éléments constitutifs d'armes,Tendu Shooting Allies / FAMAS (394 FAMAS Tendu Shooting Allies),GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN
Seine-et-Marne,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (394 FAMAS Night Firing Slides),GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN
Seine-et-Marne,0.0,Boussoles,SILVA compasses (5 SILVA compasses),GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN
Seine-et-Marne,0.0,Boussoles,Boussoles MLE 22 (in degrees) (16 boussoles MLE 22 (in degrees)),GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN
Seine-et-Marne,0.0,Boussoles,MLE 22 compasses (in mils) (42 MLE 22 compasses (in mils)),GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN
Seine-et-Marne,0.0,Éléments constitutifs d'armes,Allies of tendu shooting / FAMAS (185 Allies of tendu shooting FAMAS),GENDARMERIE - FONTAINEBLEAU GENDARMERIE SCHOOL
Seine-et-Marne,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (185 FAMAS Night Firing Slides),GENDARMERIE - FONTAINEBLEAU GENDARMERIE SCHOOL
Paris,0.0,Éléments constitutifs d'armes,Allies of tir tendu / FAMAS (1763 allies of tendu tir FAMAS),GENDARMERIE - REPUBLICAN GUARD
Paris,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (1763 FAMAS Night Firing Slides),GENDARMERIE - REPUBLICAN GUARD
Paris,0.0,Boussoles,SILVA compasses (160 SILVA compasses),GENDARMERIE - REPUBLICAN GUARD
Paris,0.0,Matériels transmissions,Buttons covered with phosphorescent paint (357 buttons),GENDARMERIE - REPUBLICAN GUARD
Yvelines,0.0,Boussoles,Compass (3 compasses),GENDARMERIE - GIGN
Yvelines,0.0,Matériels transmission,Tritium card reader (8 tritium card reader),GENDARMERIE - GIGN
Val-de-Marne,0.0,Éléments constitutifs d'armes,Tendu Shooting Allies / FAMAS (24 FAMAS Tendu Shooting Allies),GENDARMERIE - GTA
Val-de-Marne,0.0,Éléments constitutifs d'armes,Night Firing Slides / FAMAS (24 FAMAS Night Firing Slides),GENDARMERIE - GTA
Corse-du-Sud,0.0,Eléments constitutifs d'armes,FSA 49/56 rear sights (53 rear sights),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Eléments constitutifs d'armes,FSA 49/56 handlebars (53 handlebars),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Boussoles,MLE 22 compasses (122 compasses),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Eléments constitutifs d'armes,Allies of tendu shooting / FAMAS (192 tendu shooting allies),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Eléments constitutifs d'armes,FAMAS handlebar (142 handlebar),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Eléments constitutifs d'armes,Rise AA 52 (18 rise AA 52),GENDARMERIE - RG CORSE
Corse-du-Sud,0.0,Eléments constitutifs d'armes,AA 52 handlebars (23 AA 52 handlebars),GENDARMERIE - RG CORSE
