City,County,Site,Waste_Type,Description,Label,Volume_in_mt,BQ,Radionuclides
BORDEAUX,Gironde,ORANGE - UI AQUITAINE,,"S04 (0,022 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
CLERMONT-FERRAND,Puy-de-Dôme,ORANGE - UI AUVERGNE,,"S04 (0,078 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
MONTFORT-SUR-MEU,Ille-et-Vilaine,ORANGE - UI BRITTANY,,"S04 (0,068 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VAUX-LE-PENIL,Seine-et-Marne,ORANGE - UI ILE DE FRANCE EAST,,"S04 (0,056 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VIRY-CHATILLON,Essonne,ORANGE - UI ILE DE FRANCE SOUTH,,"S04 (0,101 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
HELLEMMES,Nord,ORANGE - UI NORTH PAS DE CALAIS,,"S04 (0,019 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VALENCE,Drôme,ORANGE - UI RHONE AND DURANCE,,"S04 (0,016 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
CRETEIL,Val-de-Marne,"FACULTY OF SCIENCE AND TECHNOLOGY - UNIV. PARIS XII - CMC - CELLULAR GROWTH, TISSUE REPAIR AND REGENERATION LABORATORY (INSERM UMR 7149)",,"GAZ (0,00001 m3)",DSF,"0,00001",1.85E+09,14C
CASTANET-TOLOSAN,Haute-Garonne,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,"GAZ (0,03 m3)",DSF,"0,03","2,20E+05",14C
BESANCON,Doubs,UNIVERSITY OF FRANCHE-COMTE - HEALTH AND SAFETY,,"S02 (0,01 m3)",S02,0,"9,28E+11",3H
POITIERS,Vienne,UNIVERSITY OF POITIERS - HEALTH AND SAFETY DEPARTMENT - RADIOACTIVE bunker,,"S01 (0,0025 m3)",S01,0,"3,50E+06",226Ra
MONACO,Monaco?,MONEGASQUE SANITATION COMPANY - SMA,,"S01 (0,0002 m3)",S01,0,"1,50E+01",226Ra
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel historique,radionuclide Ra226 luminescent paint (0.03 m3 - 2 indicators),S02,0,Data updated with each new edition of the National Inventory,
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 5,radionuclide Ra226 luminescent paint (0.001 m3 - 28 Colignon compass),S02,0,Data updated with each new edition of the National Inventory,
EVREUX,Eure,AIR FORCE - BA 105 EVREUX,retrait de service de l'avion C160,small tritiated materials (1 drums),S02,0,Data updated with each new edition of the National Inventory,
POLEYMIEUX-AU-MONT-D'OR,Rhône,AIR FORCE - BA 942 LYON,déchets technologiques,tritium sighting devices (0.4 m3 - 2 drums),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,compteur Kilometrique,meter NNO 6680142429850 (1.8 m3 - 14 meter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,compteur vitesse,dashboard speedometer VAB NSN 6680143023665 (1.8 m3 - 52 meter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,thermométre EAU,dashboard water thermometer VAB NNO 6685142385996 (1.8 m3 - 42 water thermometer),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,voltmétre,voltmeter 12 V VAB 6625142549161 (1.8 m3 - 42 voltmeter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,jauge combustible,fuel gauge VAB NNO 6680142222405 (1.8 m3 - 42 gauge),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,tachymétre,VAB board tachometer (1.8 m3 - 42 tachometer),S02,0,Data updated with each new edition of the National Inventory,
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,"Dials, tritium indicators (0.467 m3 - 0.054 t - 1167 objects)",S02,0,Data updated with each new edition of the National Inventory,
BAGNOLS-SUR-CEZE,Gard,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets dont la filière de gestion reste à définir (DSFI),Glittering liquids (0.009 m3),DSF-LI,"0,009",Data updated with each new edition of the National Inventory,
BRUYERES-LE-CHATEL,Essonne,CEA DAM - BRUYERES-LE-CHATEL,Entreposage des sources,Unused sources of all kinds stored in the center&#39;s various facilities (1010 units),S01,0,Data updated with each new edition of the National Inventory,
BRUYERES-LE-CHATEL,Essonne,CEA DAM - BRUYERES-LE-CHATEL,Déchets radioactifs conditionnés ou non et entreposés dans les installations,Drum 100L Powdery (6 Drum 100L),DSF-DI,"0,6",Data updated with each new edition of the National Inventory,
LE BARP,Gironde,THE LADY - THE CUP,"Sources radioactives usagées, sans emploi",Waiting for evacuation (6 Unit),S01,0,Data updated with each new edition of the National Inventory,
PONTFAVERGER-MORONVILLIERS,Marne,CEA DAM - MORONVILLIERS,Stockage historique ,Wells containing experimental residues (100 wells),DSH,0,Data updated with each new edition of the National Inventory,
ACQUIGNY,Eure,CHUBB SECURITE - ACQUIGNY,Détecteurs d'incendie,"Sources SECI11 241 Am, used for SO12 detectors (7000 units)",S01,0,Data updated with each new edition of the National Inventory,
HAO,Polynésie française,DGA-HAO,Déchets immergés au nord de l'atoll dans une fosse océanique par 2500 mètres de fond,"&quot;Hotel&quot; site (310 tonnes of waste conditioned in concrete drums and 222 tonnes of unconditioned waste, dumped in bulk between 1967 and 1975 over 1 km2) (532 t)",DSH,0,Data updated with each new edition of the National Inventory,
PAMANDZI,Mayotte,GENDARMERIE - COMGEND MAYOTTE,Boussoles,SILVA compasses (13 SILVA compasses),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Éléments constitutifs d'armes,FSA 49/56 handlebars (4 FSA 49/56 handlebars),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Éléments constitutifs d'armes,AA 52 handlebars (5 AA 52 handlebars),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Éléments constitutifs d'armes,FAMAS handlebars (164 FAMAS handlebars),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Éléments constitutifs d'armes,Handguard grips (158 handguard grips),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Boussoles,MLE 22 compasses (1 MLE 22 compass),S02,0,Data updated with each new edition of the National Inventory,
ROSNY-SOUS-BOIS,Seine-Saint-Denis,GENDARMERIE - CTGN,Matériels transmissions,Card readers (6 card reader),S02,0,Data updated with each new edition of the National Inventory,
MELUN,Seine-et-Marne,GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN,Boussoles,Boussoles MLE 22 (in degrees) (16 boussoles MLE 22 (in degrees)),S02,0,Data updated with each new edition of the National Inventory,
MELUN,Seine-et-Marne,GENDARMERIE - SCHOOL OF GENDARMERIE OFFICERS (EOGN) MELUN,Boussoles,MLE 22 compasses (in mils) (42 MLE 22 compasses (in mils)),S02,0,Data updated with each new edition of the National Inventory,
PARIS 04,Paris,GENDARMERIE - REPUBLICAN GUARD,Boussoles,SILVA compasses (160 SILVA compasses),S02,0,Data updated with each new edition of the National Inventory,
PARIS 04,Paris,GENDARMERIE - REPUBLICAN GUARD,Matériels transmissions,Buttons covered with phosphorescent paint (357 buttons),S02,0,Data updated with each new edition of the National Inventory,
VERSAILLES,Yvelines,GENDARMERIE - GIGN,Boussoles,Compass (3 compasses),S02,0,Data updated with each new edition of the National Inventory,
VERSAILLES,Yvelines,GENDARMERIE - GIGN,Matériels transmission,Tritium card reader (8 tritium card reader),S02,0,Data updated with each new edition of the National Inventory,
AJACCIO,Corse-du-Sud,GENDARMERIE - RG CORSE,Eléments constitutifs d'armes,Rise AA 52 (18 rise AA 52),S02,0,Data updated with each new edition of the National Inventory,
AJACCIO,Corse-du-Sud,GENDARMERIE - RG CORSE,Eléments constitutifs d'armes,AA 52 handlebars (23 AA 52 handlebars),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Eléments constitutifs d'armes,AA NF 1 Pickups (24 AA NF 1 Pickups),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Eléments constitutifs d'armes,DVN for Glock (20 DVN for glock),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Eléments constitutifs d'armes,Rise AA NF 1 (1 rise AA NF 1),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Eléments constitutifs d'armes,Hausse MANHURIN (1 hausse Manhurin),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Eléments constitutifs d'armes,AA 52 tablets (588 AA 52 tablets),S02,0,Data updated with each new edition of the National Inventory,
BEYNES,Yvelines,GENDARMERIE - RG IDF BEYNES,Transmission,Card reader (3 card reader),S02,0,Data updated with each new edition of the National Inventory,
QUEVEN,Morbihan,MARINE NATIONALE - CELAE DET LANN-BIHOUE,Matériels Aéronautiques,Showcase waste (0.04 m3 - 19 units),S02,0,Data updated with each new edition of the National Inventory,
LA GRAND-COMBE,Gard,NATIONAL OFFICE FOR FORESTS LAND SERVICE GARD HERAULT - LA GRAND COMBE,Dechets d'exploitation de la centrale thermique au charbon du FESC,"the slag heaps of St Andeol (500,000 m3), Aubignac (110,000 m3), Belliere - roadside (90,000 m3) and Gour (20,000 m3) (720,000 m3)",DSH,0,Data updated with each new edition of the National Inventory,
ISSY-L'EVEQUE,Saône-et-Loire,ORANO / ORAN MINING - BAUZOT - MINES,Dépôt,"Earth and rubble, from the CEA&#39;s pilot fuel processing plant in Fontenay-aux-Roses (dismantled in 1959), packaged in a few hundred drums (non-significant activity) (1 set)",DSH,0,Data updated with each new edition of the National Inventory,
ROUSSON,Gard,PECHINEY BUILDING (STOPPED SITES) - SEGOUSSAC,Résidus de production d'alumine de l'usine de Salindres - boues rouges déshydratées,"Sludge composed of fine elements, water content of 40 to 45%; mainly oxides of iron, aluminium, silicon, titanium and calcium (3,900,000 m3)",DSH,0,Data updated with each new edition of the National Inventory,
VITROLLES,Bouches-du-Rhône,PECHINEY BUILDING (STOPPED SITES) - VITROLLES,Scories de charbon,"Coal slag (170,000 t)",DSH,0,Data updated with each new edition of the National Inventory,
NIMES,Gard,CURIUM PET FRANCE - PRODUCTION RADIOPHARMACEUTIQUE (NIMES),,DGD - Declining managed waste,DGD,"0,7",-,18F
BAGNOLS-SUR-CEZE,Gard,RADIATION PROTECTION ADVICE AND STUDIES (CERAP) - BAGNOLS SUR CEZE AGENCY,,DGD - Declining managed waste,DGD,"0,0005",-,131I
SAINT-BEAUZIRE,Puy-de-Dôme,CYCLOPHARMA LABORATORIES - SAINT-BEAUZIRE,,DGD - Declining managed waste,DGD,"0,208",-,"58Co,18F,51Cr,56Co"
SIGNES,Var,IPSEN PHARMA BIOTECH - QUALITY CONTROL - RIA LABORATORY,,DGD - Declining managed waste,DGD,"0,52",-,125I
GENCAY,Vienne,BIOALTERNATIVES SA - BIOLOGY MOLECULAR AND CELLULAR,,DGD - Declining managed waste,DGD,"0,1",-,35S
SAINT-GREGOIRE,Ille-et-Vilaine,BIOPROJECT - BIOTECH - RESEARCH CENTER / BIOCHEMISTRY,,DGD - Declining managed waste,DGD,"3,8",-,35S
BRON,Rhône,CERMEP - CYCLOTRON BIOMEDICAL - RADIOCHEMISTRY - LIVE IMAGING,,DGD - Declining managed waste,DGD,"0,999",-,"11C,13N,15O,18F,68Ga"
ORLEANS,Loiret,CNRS - ORLEANS - CNRS - CBM A - UPR 4301,,DGD - Declining managed waste,DGD,1,-,32P
VILLIERS-EN-BOIS,Deux-Sèvres,CNRS - CENTER D&#39;ETUDES BIOLOGIQUES DE CHIZE (CEBC) - CNRS - CEBC UMR7372,,DGD - Declining managed waste,DGD,"0,08",-,125I
ORLEANS,Loiret,CNRS - ORLEANS - CNRS - CEMHTI - UPR 3079 EXTREME CONDITIONS AND MATERIALS: HIGH TEMPERATURE AND IRRADIATION,,DGD - Declining managed waste,DGD,"0,025",-,"166Ho,46Sc,56Co,48V,52Mn"
CLERMONT-FERRAND,Puy-de-Dôme,AUVERGNE UNIVERSITY - UMR 1240 MOLECULAR IMAGING AND THERANOSTIC STRATEGIES,,DGD - Declining managed waste,DGD,8,-,"111In,125I,131I,90Y,177Lu"
SAINT-BENOIT,Vienne,SGS FRANCE - LIFE SERVICES SAINT BENOIT,,DGD - Declining managed waste,DGD,1,-,125I
MARCY-L'ETOILE,Rhône,VETERINARY CAMPUS OF LYON - VETAGRO-SUP,,DGD - Declining managed waste,DGD,"2,8",-,125I
NANTES,Loire-Atlantique,ONIRIS - LABONIRIS,,DGD - Declining managed waste,DGD,7,-,125I
PALAISEAU,Essonne,POLYTECHNICAL SCHOOL - CELL STRUCTURAL BIOLOGY LABORATORY - UMR 7654,,DGD - Declining managed waste,DGD,"0,54",-,"32P,33P,35S"
MORET-LOING-ET-ORVANNE,Seine-et-Marne,EDF - RESEARCH &amp; DEVELOPMENT - RENARDIERES - MATERIALS AND MECHANICS OF COMPONENTS DEPT (MMC),,DGD - Declining managed waste,DGD,"0,2",-,"58Co,56Co"
PLOUZANE,Finistère,IFREMER / CENTER BRITTANY - RESEARCH,,DGD - Declining managed waste,DGD,"0,2",-,35S
CROISSY-SUR-SEINE,Yvelines,SERVIER RESEARCH INSTITUTE - CPCB,,DGD - Declining managed waste,DGD,"0,26",-,35S
LES ABYMES,Guadeloupe,INSTITUT PASTEUR DE GUADELOUPE - MYCOBACTERIA LABORATORY - BIOMEDICAL RESEARCH,,DGD - Declining managed waste,DGD,"0,001",-,35S
VILLEBON-SUR-YVETTE,Essonne,ONCODESIGN - CELLULAR BIOLOGY - RADIO-IMMUNO-ANALYSIS,,DGD - Declining managed waste,DGD,3,-,125I
LES ULIS,Essonne,IPSEN INNOVATION - HENRI BEAUFOUR INSTITUTE - Competent Department in Radiation Protection,,DGD - Declining managed waste,DGD,"0,059",-,125I
ROSCOFF,Finistère,BIOLOGICAL STATION - UMR8227 - UMR7144,,DGD - Declining managed waste,DGD,"0,05",-,"32P,35S"
VANDOEUVRE-LES-NANCY,Meurthe-et-Moselle,UNIVERSITY OF LORRAINE - UMR 7365 CNRS - MOLECULAR ENGINEERING AND JOINT PHYSIOPATHOLOGY (IMOPA),,DGD - Declining managed waste,DGD,"0,5",-,"32P,35S"
NANTES,Loire-Atlantique,UNIVERSITE DE NANTES - EMN - IN2P3 - ARMINES - IN2P3 - CNRS - LABO. SUBATOMIC PHYSICS AND ASSOCIATED TECHNOLOGIES (SUBATECH),,DGD - Declining managed waste,DGD,"0,2",-,"95Zr,123I,125I,131I,99mTc"
NICE,Alpes-Maritimes,"COTE D&#39;AZUR UNIVERSITY - FACULTY OF MEDICINE - IRCAN INSERM U1081, CNRS UMR 7284",,DGD - Declining managed waste,DGD,"0,44",-,32P
NICE,Alpes-Maritimes,NICE CHU - ARCHET HOSPITAL - INSERM UMR 1065 C3M - ARCHIMED BUILDING,,DGD - Declining managed waste,DGD,"0,1",-,32P
VALBONNE,Alpes-Maritimes,CNRS - UNIVERSITY OF NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - INSTITUTE OF PHARMACOLOGY - UMR 7275 - BIOLOGICAL RESEARCH,,DGD - Declining managed waste,DGD,"0,6",-,"32P,35S,125I"
MONT-SAINT-AIGNAN,Seine-Maritime,UNIVERSITY OF ROUEN - INSERM - U1239,,DGD - Declining managed waste,DGD,1,-,125I
LA TRONCHE,Isère,UNIVERSITY OF GRENOBLES ALPES - FACULTY OF MEDICINE OF GRENOBLE - INSERM U1039 - BIOCLINICAL RADIOPHARMACEUTICALS,,DGD - Declining managed waste,DGD,"0,4",-,"18F,68Ga,125I,201Tl,99mTc,177Lu"
ILLKIRCH-GRAFFENSTADEN,Bas-Rhin,UNIVERSITY OF STRASBOURG - IREBS - UMR 7242,,DGD - Declining managed waste,DGD,"0,18",-,"32P,35S,125I"
ILLKIRCH-GRAFFENSTADEN,Bas-Rhin,UNIVERSITY OF STRASBOURG - IGBMC - INSERM U1258 - CNRS UMR 7104,,DGD - Declining managed waste,DGD,"0,6",-,32P
PARIS 06,Paris,PARIS V UNIVERSITY - RENE DESCARTES - FACULTY OF PHARMACY - CNRS - UMR 8015 BIOLOGICAL CRISTALLOGRAPHY AND NMR LABORATORY,,DGD - Declining managed waste,DGD,"0,05",-,"32P,35S"
VILLEFRANCHE-SUR-MER,Alpes-Maritimes,CNRS-SORBONNE UNIVERSITY - IMEV-UMR7009 DEVELOPMENTAL BIOLOGY,,DGD - Declining managed waste,DGD,"0,015",-,"32P,35S"
BORDEAUX,Gironde,UNIVERSITY OF BORDEAUX - FUNDAMENTAL MICROBIOLOGY AND PATHOGENICITY - UMR CNRS 5234,,DGD - Declining managed waste,DGD,"0,12",-,32P
BOURG-EN-BRESSE,Ain,INOL NUCLEAR IMAGING OF WEST LYONNAIS AND AIN - NUCLEAR MEDICINE - BOURG EN BRESSE,,DGD - Declining managed waste,DGD,"0,4",-,"18F,131I,99mTc"
SOISSONS,Aisne,GIE GAMMA 02 - SCINTIGRAPHY,,DGD - Declining managed waste,DGD,"5,75",-,"18F,67Ga,99Mo,111In,201Tl,99mTc"
SAINT-QUENTIN,Aisne,SAINT-CLAUDE ISOTOPIC EXPLORATION CENTER - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,"0,1",-,"18F,67Ga,111In,123I,201Tl,99mTc"
MONTLUCON,Allier,MONTLUÇON HOSPITAL CENTER - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,"2,5",-,"99Mo,123I,99mTc"
NICE,Alpes-Maritimes,NICE CHU - PASTEUR HOSPITAL - BIOCHEMISTRY,,DGD - Declining managed waste,DGD,"0,46",-,125I
SAINT-LAURENT-DU-VAR,Alpes-Maritimes,ARNAULT TZANCK INSTITUTE - SCINTIGRAPHY,,DGD - Declining managed waste,DGD,"0,1",-,"99Mo,111In,123I,99mTc"
RODEZ,Aveyron,JACQUES PUEL HOSPITAL CENTER - NUCLEAR MEDICINE DEPARTMENT,,DGD - Declining managed waste,DGD,7,-,"18F,123I,131I,201Tl,99mTc"
AIX-EN-PROVENCE,Bouches-du-Rhône,PAYS D&#39;AIX HOSPITAL CENTER - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,1,-,"18F,123I,99mTc"
AUBAGNE,Bouches-du-Rhône,SCINTI 13 PRIVATE HOSPITAL LA CASAMANCE - NUCLEAR MEDICINE / PHARMACOLOGY / RADIOTHERAPY,,DGD - Declining managed waste,DGD,"7,5",-,"18F,201Tl,99mTc"
SAINT-MICHEL,Charente,ANGOULÊME HOSPITAL CENTER - GIRAC HOSPITAL - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,6,-,"201Tl,99mTc"
LA ROCHELLE,Charente-Maritime,RADIOISOTOPIC IMAGING CENTER (CIRI) - NUCLEAR MEDICINE LA ROCHELLE,,DGD - Declining managed waste,DGD,"0,5",-,"18F,67Ga,111In,123I,131I,99mTc"
SAINT-DOULCHARD,Cher,SCM INOV - SCINTIGRAPHY AND NUCLEAR MEDICINE SERVICES - GUILLAUME DE VARYE CLINIC,,DGD - Declining managed waste,DGD,5,-,"18F,123I,99mTc"
AJACCIO,Corse-du-Sud,GIP Nuclear medicine CHD CASTELLUCCIO - Scintigraphy service,,DGD - Declining managed waste,DGD,3,-,99mTc
SAINT-BRIEUC,Côtes-d'Armor,SAINT-BRIEUC HOSPITAL CENTER - YVES LE FOLL HOSPITAL - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,10,-,"67Ga,111In,123I,131I,201Tl,99mTc"
PERIGUEUX,Dordogne,FRANCHEVILLE NUCLEAR MEDICINE CENTER - FRANCHEVILLE POLYCLINIC - SCINTIGRAPHY,,DGD - Declining managed waste,DGD,1,-,"67Ga,111In,131I,201Tl,99mTc"
TREVENANS,Territoire de Belfort,GIE NUCLEAR MEDICINE - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,20,-,"18F,111In,123I,131I,201Tl,99mTc"
VALENCE,Drôme,VALENCE HOSPITAL CENTER - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,DGD - Declining managed waste,DGD,"0,38",-,"18F,111In,123I,131I,201Tl,99mTc"
EVREUX,Eure,BERGOUIGNAN CLINIC - NUCLEAR MEDICINE - SCINTIGRAPHY,,DGD - Declining managed waste,DGD,"0,3",-,"201Tl,99mTc"
EVREUX,Eure,EUROIS GROUP OF MEDICAL IMAGING - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,"0,5",-,"201Tl,99mTc"
QUIMPER,Finistère,GEORGES CHARPAK CENTER - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,"2,5",-,"18F,99Mo,111In,123I,99mTc"
NIMES,Gard,CHU - CAREMEAU HOSPITAL - NUCLEAR MEDICINE AND MEDICAL BIOPHYSICS DEPARTMENT,,DGD - Declining managed waste,DGD,2,-,"18F,123I,131I,99mTc,90Y,177Lu"
NIMES,Gard,SCINTIGARD - NUCLEAR MEDICINE - NIMES,,DGD - Declining managed waste,DGD,"7,7",-,"123I,99mTc"
CORNEBARRIEU,Haute-Garonne,CÉDRES CLINIC - NUCLEAR MEDICINE,,DGD - Declining managed waste,DGD,"5,2",-,"111In,123I,201Tl,99mTc"
TALENCE,Gironde,BORDEAUX CHU - HAUT LEVEQUE HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY,,DGD - Declining managed waste,DGD,30,-,"18F,123I,125I,131I,99mTc,177Lu"
TALENCE,Gironde,BORDEAUX CHU - PELLEGRIN HOSPITAL - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY - BIOLOGY,,DGD - Declining managed waste,DGD,2,-,"67Ga,123I,99mTc,90Y"
BORDEAUX,Gironde,BORDEAUX NORD AQUITAINE POLYCLINIC - NUCLEAR MEDICINE - SCINTIGRAPHY,,DGD - Declining managed waste,DGD,18,-,"18F,67Ga,111In,123I,131I,99mTc"
BEZIERS,Hérault,LIBERAL CENTER FOR NUCLEAR MEDICINE / SCP - SCINTIGRAPHY/TEP-SCAN,,DGD - Declining managed waste,DGD,5,-,"18F,111In,123I,131I,201Tl,99mTc"
