City,County,Site,Waste_Type,Description,Label,Volume_in_mt,BQ,Radionuclides
BORDEAUX,Gironde,ORANGE - UI AQUITAINE,,"S04 (0,022 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
CLERMONT-FERRAND,Puy-de-Dôme,ORANGE - UI AUVERGNE,,"S04 (0,078 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
MONTFORT-SUR-MEU,Ille-et-Vilaine,ORANGE - UI BRITTANY,,"S04 (0,068 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VAUX-LE-PENIL,Seine-et-Marne,ORANGE - UI ILE DE FRANCE EAST,,"S04 (0,056 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VIRY-CHATILLON,Essonne,ORANGE - UI ILE DE FRANCE SOUTH,,"S04 (0,101 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
HELLEMMES,Nord,ORANGE - UI NORTH PAS DE CALAIS,,"S04 (0,019 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
VALENCE,Drôme,ORANGE - UI RHONE AND DURANCE,,"S04 (0,016 m3)",S04,0,"0,00E+00","3H, 147Pm, 226Ra, 232Th"
CRETEIL,Val-de-Marne,"FACULTY OF SCIENCE AND TECHNOLOGY - UNIV. PARIS XII - CMC - CELLULAR GROWTH, TISSUE REPAIR AND REGENERATION LABORATORY (INSERM UMR 7149)",,"GAZ (0,00001 m3)",DSF,"0,00001",1.85E+09,14C
CASTANET-TOLOSAN,Haute-Garonne,INRAE - TOULOUSE MIDI-PYRENEES RESEARCH CENTER - LABORATORY FOR PLANT-MICRO-ORGANISM ENVIRONMENTAL INTERACTIONS (LIPME) UMR INRA/CNRS 441/2594,,"GAZ (0,03 m3)",DSF,"0,03","2,20E+05",14C
BESANCON,Doubs,UNIVERSITY OF FRANCHE-COMTE - HEALTH AND SAFETY,,"S02 (0,01 m3)",S02,0,"9,28E+11",3H
POITIERS,Vienne,UNIVERSITY OF POITIERS - HEALTH AND SAFETY DEPARTMENT - RADIOACTIVE bunker,,"S01 (0,0025 m3)",S01,0,"3,50E+06",226Ra
MONACO,Monaco?,MONEGASQUE SANITATION COMPANY - SMA,,"S01 (0,0002 m3)",S01,0,"1,50E+01",226Ra
GARDANNE,Bouches-du-Rhône,ALTEO - GARDANNE,Résidus de la production d'alumine de l'usine de Gardanne (boues rouges déhydratées),"Sludge composed of fine elements. Composed mainly of oxides: iron, aluminum, silicon, sodium, titanium and calcium (pH = 11) (7219967 t)",DSH,0,Data updated with each new edition of the National Inventory,"204Tl, 210Pb, 228Ra, 227Ac, Th, 213Bi"
GANAGOBIE,Alpes-de-Haute-Provence,ANDRA SERVICE SOLUTIONS FOR CWPs - GANAGOBIE,Déchets d'exploitation entreposés sur le site.,Liquid chemicals without spinnerets (1 m3),DSF-LI,1,Data updated with each new edition of the National Inventory,"3H, 14C"
CESTAS,Gironde,AIR FORCE - AIA BORDEAUX,Pièces aéronautiques,Ignition box bulbs present on AST600 with tritium (0.2 m3 - 0.045 t - 44 units),S01,0,Data updated with each new edition of the National Inventory,3H
CESTAS,Gironde,AIR FORCE - AIA BORDEAUX,Pièces aéronautiques,Unitary M53 tritium bulbs and M53 ignition boxes (0.3 m3 - 0.042 t - 377 unit),S01,0,Data updated with each new edition of the National Inventory,3H
CESTAS,Gironde,AIR FORCE - AIA BORDEAUX,Pièces aéronautiques,GEM ignition box bulbs with tritium (0.2 m3 - 0.035 t - 37 units),S01,0,Data updated with each new edition of the National Inventory,3H
CESTAS,Gironde,AIR FORCE - AIA BORDEAUX,Pièces aéronautiques,T56 ignition boxes containing a krypton 85 spark gap (0.1 m3 - 0.011 t - 11 units),S01,0,Data updated with each new edition of the National Inventory,85Kr
CESTAS,Gironde,AIR FORCE - AIA BORDEAUX,Pièces aéronautiques,MTR390 ignition boxes with tritium spark gap (0.1 m3),S01,0,Data updated with each new edition of the National Inventory,3H
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Spare dials (0.1 m3 - 38 units),S02,0,Data updated with each new edition of the National Inventory,226Ra
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Altimeter (0.1 m3 - 2 units),S02,0,Data updated with each new edition of the National Inventory,226Ra
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Spherical repeater (0.1 m3 - 1 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Clock Movement (0.1 m3 - 2 units),S02,0,Data updated with each new edition of the National Inventory,226Ra
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Compass (0.1 m3 - 2 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND, Autres Déchets,Transmitter/receiver (0.1 m3 - 1 unit),S01,0,Data updated with each new edition of the National Inventory,63Ni
CLERMONT-FERRAND,Puy-de-Dôme,AIR ARMY - AIA CLERMONT-FERRAND,Dechets Technologiques,Emergency Compass (0.1 m3 - 78 Compasses),S02,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,matériels avec peinture au tritium,39 materials with tritium paint (0.1 m3 - 0.004 t - 1 39 materials),S02,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques contenant du tritium gazeux (H3),223 High Energy Casing Burst Tubes (223 tubes),S01,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,indicateurs radioluminescents (tritium),654 Betalight (tritium) LEDs (654 Betalight),S02,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),60 electron tubes containing Co60 (0.1 m3 - 0.01 t - 160 tubes),S01,0,Data updated with each new edition of the National Inventory,60Co
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,indicateurs radioluminescents (tritium),6 &quot;indicator plate&quot; labels (tritium) (6 labels),S02,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),13 electronic tubes containing Ni63 (0.1 m3 - 0.002 t - 1 13 tubes),S01,0,Data updated with each new edition of the National Inventory,63Ni
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques pour radar (H 3 ou Co 60 ou Ni 63),5 electron tubes containing H3 (5 tubes),S01,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,indicateurs radioluminescents (tritium),4 luminous half-handles (4 half-handles),S02,0,Data updated with each new edition of the National Inventory,3H
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,matières et matériels avec peinture au radium,11 materials (0.2 m3 - 0.02 t - 1 11 materials),S01,0,Data updated with each new edition of the National Inventory,226Ra
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques (Cs 137 ou Ra 226),30 burst tubes (Cs 137) (0.002 m3 - 0.001 t - 1 30 tubes),S01,0,Data updated with each new edition of the National Inventory,137Cs
PIERREFEU-DU-VAR,Var,AIR FORCE - AIA CUERS PIERREFEU,tubes électroniques (Cs 137 ou Ra 226),"7 tubes (Ra 226) (0,002 m3 - 0,001 t - 1 7 tubes)",S01,0,Data updated with each new edition of the National Inventory,226Ra
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,"matériel historique
",Ni63 radionuclide for TR tube (0.03 m3 - 2 tube),S01,0,Data updated with each new edition of the National Inventory,63Ni
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel historique,radionuclide Ra226 luminescent paint (0.03 m3 - 2 indicators),S02,0,Data updated with each new edition of the National Inventory,
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 3,radionuclide H3 luminescent paint (0.001 m3 - 24 160 UN01 AA50T),S02,0,Data updated with each new edition of the National Inventory,3H
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 1,radionuclide H3 luminescent paint (0.001 m3 - 41 120 UN01 AA50T ),S02,0,Data updated with each new edition of the National Inventory,3H
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 2,"radionuclide H3 luminescent paint (0.001 m3 - 1,260 UN01 CC50T)",S02,0,Data updated with each new edition of the National Inventory,3H
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 4,radionuclide tritium luminescent paint (0.001 m3 ),S02,0,Data updated with each new edition of the National Inventory,3H
LORIENT,Morbihan,AIR FORCE - AIA OF BRITTANY,matériel marine nationale retiré des OAE - 5,radionuclide Ra226 luminescent paint (0.001 m3 - 28 Colignon compass),S02,0,Data updated with each new edition of the National Inventory,
EVREUX,Eure,AIR FORCE - BA 105 EVREUX,dechets trities electroluminescent,FAMAS alidade and slider (1.2 m3 - 6 drums of 200 L),S02,0,Data updated with each new edition of the National Inventory,3H
EVREUX,Eure,AIR FORCE - BA 105 EVREUX,retrait de service de l'avion C160,small tritiated materials (1 drums),S02,0,Data updated with each new edition of the National Inventory,
EVREUX,Eure,AIR FORCE - BA 105 EVREUX,divers cadrans et plaquettes aéonautique,small radium materials (1 drum),S02,0,Data updated with each new edition of the National Inventory,226Ra
VELIZY-VILLACOUBLAY,Yvelines,AIR FORCE - BA 107 VILLACOUBLAY,Éléments tritiés des Famas,Objects containing four radio-luminescent pellets (0.2 m3 - 1 drum),S02,0,Data updated with each new edition of the National Inventory,3H
VELIZY-VILLACOUBLAY,Yvelines,AIR FORCE - BA 107 VILLACOUBLAY,Éléments tritiés des Famas,Objects containing a radio-luminescent pellet (0.2 m3 - 1 drum),S02,0,Data updated with each new edition of the National Inventory,3H
SAINT-DIZIER,Haute-Marne,AIR ARMY - BA 113,Elements radioluminescents d'armement,FAMAS sight sets (0.4 m3 - 2 barrels),S02,0,Data updated with each new edition of the National Inventory,3H
SAINT-DIZIER,Haute-Marne,AIR ARMY - BA 113,Elements radioluminescents d'armement,AA 52 sights (0.2 m3 - 1 drum),S02,0,Data updated with each new edition of the National Inventory,226Ra
SAINT-DIZIER,Haute-Marne,AIR ARMY - BA 113,Elements radioluminescents d'armement,Elements of Russian tanks (0.5 m3 - 1 lot),S02,0,Data updated with each new edition of the National Inventory,3H
SAINT-DIZIER,Haute-Marne,AIR ARMY - BA 113,Elements radioluminescents d'armement,JAGUAR laser rangefinder (0.1 m3 - 1 object),S02,0,Data updated with each new edition of the National Inventory,226Ra
SAINT-DIZIER,Haute-Marne,AIR ARMY - BA 113,Elements radioluminescents d'armement,Fouga Magister Dashboard (0.1 m3 - 1 Lot),S02,0,Data updated with each new edition of the National Inventory,226Ra
ORANGE,Vaucluse,AIR FORCE - BA 115 ORANGE,matériel terrestre,land material (1 m3 - 5 drums),S02,0,Data updated with each new edition of the National Inventory,3H
ORANGE,Vaucluse,AIR FORCE - BA 115 ORANGE,Matériels aéronautiques,various aeronautical dials (0.2 m3 - 1 drum),S02,0,Data updated with each new edition of the National Inventory,3H
ORANGE,Vaucluse,AIR FORCE - BA 115 ORANGE,Matériels aéronautiques,Electronic tubes (0.01 m3 - 2 tubes),S01,0,Data updated with each new edition of the National Inventory,63Ni
MONT-DE-MARSAN,Landes,AIR ARMY - BA 118 MONT-DE-MARSAN,Plaques parlantes Crotale avec de peinture radioluminescente,64 Crotale plates with radioluminescent paint (0.2 m3 - 64 units),S02,0,Data updated with each new edition of the National Inventory,3H
MONT-DE-MARSAN,Landes,AIR ARMY - BA 118 MONT-DE-MARSAN,Déchets électroniques,"TV3309A (0,05 m3 - 17 tubes)",S01,0,Data updated with each new edition of the National Inventory,63Ni
MONT-DE-MARSAN,Landes,AIR ARMY - BA 118 MONT-DE-MARSAN,Déchets électroniques,"TR SIMPLE TV3008 (0,05 m3 - 30 unite)",S01,0,Data updated with each new edition of the National Inventory,63Ni
BOULAY-LES-BARRES,Loiret,AIR ARMY - BA 123rd,Déchets divers en fût : Tritium,Total weight of the various elements: 726 kg for a volume of 2.4 m3 (2.4 m3),S02,0,Data updated with each new edition of the National Inventory,3H
BOULAY-LES-BARRES,Loiret,AIR ARMY - BA 123rd,Container crash avion: Tritium,Planes crashed (330 m3 - 10 lot),S02,0,Data updated with each new edition of the National Inventory,3H
SARI-SOLENZARA,Corse-du-Sud,AIR FORCE - BA 126 SOLENZARA,Tubes électroniques,Out of service equipment removed from RADAR (0.3 m3 - 0.025 t - 32 tubes),S01,0,Data updated with each new edition of the National Inventory,"60Co, 63Ni"
NANCY,Meurthe-et-Moselle,AIR ARMY - BA 133 NANCY,Déchets technologiques,Tritium sighting devices (0.4 m3 - 2 barrels),S02,0,Data updated with each new edition of the National Inventory,3H
SALON-DE-PROVENCE,Bouches-du-Rhône,AIR FORCE - BA 701 SALON DE PROVENCE,Déchets de démantèlement,2 vacuum tubes OA2WA OB2WA (0.002 m3 - 2 Tube),S01,0,Data updated with each new edition of the National Inventory,63Ni
AVORD,Cher,ARMEE DE L&#39;AIR - BA 702 AVORD,Sources de contrôle DOM 410 sans emploi,"Sealed sources, packaged in 200L drums of the VALDUC type (2 m3 - 10 drums)",S01,0,Data updated with each new edition of the National Inventory,226Ra
AVORD,Cher,ARMEE DE L&#39;AIR - BA 702 AVORD,Dispositif de visée AA52 Ra226,Pellet Ra226 - Radioluminescent paint (0.1 m3 - 8 units),S02,0,Data updated with each new edition of the National Inventory,226Ra
AVORD,Cher,ARMEE DE L&#39;AIR - BA 702 AVORD,Face parlante CROTALE EVA,Radioluminescent paint (0.4 m3 - 114 units),S02,0,Data updated with each new edition of the National Inventory,3H
AVORD,Cher,ARMEE DE L&#39;AIR - BA 702 AVORD,Dispositif de visée AA52 H3,Radioluminescent paint (0.1 m3 - 44 units),S02,0,Data updated with each new edition of the National Inventory,3H
AVORD,Cher,ARMEE DE L&#39;AIR - BA 702 AVORD,Détecteurs de fumée en attente de reprise,"DFCI (0,1 m3 - 14 units)",S01,0,Data updated with each new edition of the National Inventory,241Am
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 120 l (0.12 m3 - 11 tubes),S01,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 200 l (0.2 m3 - 2740 Aiming devices),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 200 l (0.2 m3 - 1736 Aiming devices),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 120 l (0.12 m3 - 7 sighting devices),S02,0,Data updated with each new edition of the National Inventory,226Ra
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,200 l drum (0.2 m3 - 8 radioluminescent elements),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 200 l (0.2 m3 - 23 Radioluminescent elements),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,200 l drum (0.2 m3 - 34 radioluminescent elements),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 200 l (0.2 m3 - 744 Aiming Devices),S02,0,Data updated with each new edition of the National Inventory,3H
CINQ-MARS-LA-PILE,Indre-et-Loire,AIR FORCE - BA 705 CINQ MARS,Déchets technologiques,Drum 120l (0.2 m3 - 11 Tablets),S02,0,Data updated with each new edition of the National Inventory,3H
COGNAC,Charente,AIR FORCE - BA 709 COGNAC,Dispositif de visée tritium,1 barrel of 200 liters ANDRA model (0.2 m3 unit),S02,0,Data updated with each new edition of the National Inventory,3H
COGNAC,Charente,AIR FORCE - BA 709 COGNAC,Dispositif de visée tritium,1 barrel of 200 liters ANDRA model (0.2 m3 unit),S02,0,Data updated with each new edition of the National Inventory,3H
COGNAC,Charente,AIR FORCE - BA 709 COGNAC,compteurs avions anciens au radium,1 was containing 20 aircraft counters with radium paint (0.1 m3 unit),S02,0,Data updated with each new edition of the National Inventory,226Ra
COGNAC,Charente,AIR FORCE - BA 709 COGNAC,80 électrodes thoriées 2% dans boite en bois,80 electrodes (0.02 m3 - 80 units),S02,0,Data updated with each new edition of the National Inventory,232Th
POLEYMIEUX-AU-MONT-D'OR,Rhône,AIR FORCE - BA 942 LYON,déchets technologiques,tritium sighting devices (0.4 m3 - 2 drums),S02,0,Data updated with each new edition of the National Inventory,
POLEYMIEUX-AU-MONT-D'OR,Rhône,AIR FORCE - BA 942 LYON,déchets technologiques,"Guidon AA52 (0,01 m3 - 3 Guidon)",S02,0,Data updated with each new edition of the National Inventory,3H
NOUMEA,Nouvelle-Calédonie,ARMEE DE TERRE - PARIS - RIMAP-NC,Boussole,Type SYLVA (7 Compasses),S02,0,Data updated with each new edition of the National Inventory,3H
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,compteur Kilometrique,meter NNO 6680142429850 (1.8 m3 - 14 meter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,compteur vitesse,dashboard speedometer VAB NSN 6680143023665 (1.8 m3 - 52 meter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,thermométre EAU,dashboard water thermometer VAB NNO 6685142385996 (1.8 m3 - 42 water thermometer),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,voltmétre,voltmeter 12 V VAB 6625142549161 (1.8 m3 - 42 voltmeter),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,jauge combustible,fuel gauge VAB NNO 6680142222405 (1.8 m3 - 42 gauge),S02,0,Data updated with each new edition of the National Inventory,
DOUAI,Nord,ARMEE DE TERRE - ZT NO - 12 BSMAT DOUAI,tachymétre,VAB board tachometer (1.8 m3 - 42 tachometer),S02,0,Data updated with each new edition of the National Inventory,
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,Tritium compasses (1.872 m3 - 0.325 t - 5202 compasses),S02,0,Data updated with each new edition of the National Inventory,3H
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,Radium compasses (0.2 m3 - 0.045 t - 158 compasses),S02,0,Data updated with each new edition of the National Inventory,226Ra
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,"Dials, tritium indicators (0.467 m3 - 0.054 t - 1167 objects)",S02,0,Data updated with each new edition of the National Inventory,
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,Tritium sighting devices (0.057 m3 - 0.018 t - 2190 objects),S02,0,Data updated with each new edition of the National Inventory,3H
NIMES,Gard,ARMEE DE TERRE - ZT SUD - 4ème RMAT - NIMES,Déchets solides,Radium sighting devices (0.1 m3 objects),S02,0,Data updated with each new edition of the National Inventory,226Ra
CHILLY-MAZARIN,Essonne,A126 MOTORWAY - CHILLY-MAZRIN,Déchets,Land with an average 226Ra activity of 3 Bq/g (radium 226 in equilibrium with its descendants + presence of natural uranium) (1700 m3),DSH,1700,Data updated with each new edition of the National Inventory,"226Ra, U"
CHILLY-MAZARIN,Essonne,A126 MOTORWAY - CHILLY-MAZRIN,Déchets,Rubble whose average natural U activity (uranium is not always in equilibrium with its descendants) is 2.8 Bq/g (2200 m3),DSH,2200,Data updated with each new edition of the National Inventory,U
LE COUDRAY-MONTCEAUX,Essonne,MONTBOUCHER MOUND - MONTBOUCHER,Déchets,Waste with the presence of natural uranium and thorium (uranium and thorium are not always in equilibrium with their descendants) (36765 t),DSH,"24511,2255",Data updated with each new edition of the National Inventory,"226Ra, 228Ra, U, Th"
LE COUDRAY-MONTCEAUX,Essonne,MONTBOUCHER MOUND - MONTBOUCHER,Déchets,Waste for which the overall activity in natural uranium and 226Ra is not significant (75 m3),DSH,75,Data updated with each new edition of the National Inventory,"226Ra, U"
BAGNOLS-SUR-CEZE,Gard,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets d'exploitation et de maintenance,Unused sources (6 sealed and unsealed sources),S01,0,Data updated with each new edition of the National Inventory,"Pu, Am"
BAGNOLS-SUR-CEZE,Gard,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets de RCD,Alpha sources including 238Pu-based stimulators - sector 7 (362 sources),S01,0,Data updated with each new edition of the National Inventory,Pu
BAGNOLS-SUR-CEZE,Gard,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets de RCD,Neutron sources - sector 7 (286 sources),S01,0,Data updated with each new edition of the National Inventory,Pu
BAGNOLS-SUR-CEZE,Gard,CEA CIVIL - MARCOULE (ATALANTE - PHENIX),Déchets dont la filière de gestion reste à définir (DSFI),Glittering liquids (0.009 m3),DSF-LI,"0,009",Data updated with each new edition of the National Inventory,
BRUYERES-LE-CHATEL,Essonne,CEA DAM - BRUYERES-LE-CHATEL,Entreposage des sources,Unused sources of all kinds stored in the center&#39;s various facilities (1010 units),S01,0,Data updated with each new edition of the National Inventory,
BRUYERES-LE-CHATEL,Essonne,CEA DAM - BRUYERES-LE-CHATEL,Déchets radioactifs conditionnés ou non et entreposés dans les installations,Drum 100L Powdery (6 Drum 100L),DSF-DI,"0,6",Data updated with each new edition of the National Inventory,
LE BARP,Gironde,THE LADY - THE CUP,"Sources radioactives usagées, sans emploi",Waiting for evacuation (6 Unit),S01,0,Data updated with each new edition of the National Inventory,
PONTFAVERGER-MORONVILLIERS,Marne,CEA DAM - MORONVILLIERS,Stockage historique ,Wells containing experimental residues (100 wells),DSH,0,Data updated with each new edition of the National Inventory,
ACQUIGNY,Eure,CHUBB SECURITE - ACQUIGNY,Détecteurs d'incendie,DSCA3/6 sources manufactured by Amersham - 241Am (16702 unite),S01,0,Data updated with each new edition of the National Inventory,241Am
