VILLE,DEPARTEMENT,CODE INSEE,NOM DU SITE,GROUPE DE DECHETS,SOUS-GROUPE DE DECHETS,DESCRIPTION PHYSIQUE,CATEGORIE,FAMILLE IN,VOLUME EQUIVALENT CONDITIONNE,MAJORATION,ACTIVITE ( Bq),PRINCIPAUX RADIONUCLEIDES
&quot;PLOUZANE&quot;,"""29""","""29212""",&quot;IFREMER / CENTER BRITTANY - RESEARCH&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,2""","""0""","""-""",&quot;35S&quot;
"""ORSAY""","""91""","""91471""",&quot;INSTITUT CURIE RESEARCH - Orsay Research Center&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1,02""","""0""","""-""","&quot;32P,35S&quot;"
"""MARSEILLE""","""13""","""13055""",&quot;CNRS - PROVENCE AND CORSICA DELEGATION - CNRS - MEDITERRANEAN INSTITUTE OF MICROBIOLOGY (IMM) FR 3479&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,2""","""0""","""-""","&quot;32P,33P,35S&quot;"
"""MONTPELLIER""","""34""","""34172""","""CNRS - MONTPELLIER - UMR CNRS 9002 ""","""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,5""","""0""","""-""","&quot;32P,35S&quot;"
"""MONTPELLIER""","""34""","""34172""",&quot;RESEARCH INSTITUTE FOR DEVELOPMENT (IRD) OF MONTPELLIER - GENETROP - RPB/DIADE UNIT&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""32P"""
&quot;CROISSY-SUR-SEINE&quot;,"""78""","""78190""",&quot;SERVIER RESEARCH INSTITUTE - CPCB&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,26""","""0""","""-""",&quot;35S&quot;
"""MARSEILLE""","""13""","""13055""",&quot;CANCER RESEARCH INSTITUTE OF MARSEILLE - PAOLI-CALMETTES INSTITUTE - INSERM UMR 1068 CRCM&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,28""","""0""","""-""","""32P"""
"""PARIS 15""","""75""","""75115""",&quot;NATIONAL INSTITUTE OF BLOOD TRANSFUSION - INSERM-UP7 UMR S 1134 INTEGRATED BIOLOGY OF THE RED BLOOD CELL&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,02""","""0""","""-""","""32P"""
"""PARIS 15""","""75""","""75115""",&quot;INSTITUT PASTEUR DE PARIS - ALL THE RESEARCH UNITS OF THE INSTITUT PASTEUR&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,76""","""0""","""-""","&quot;32P,33P,125I&quot;"
&quot;THE ABYMES&quot;,"""971""","""97101""",&quot;INSTITUT PASTEUR DE GUADELOUPE - MYCOBACTERIA LABORATORY - BIOMEDICAL RESEARCH&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,001""","""0""","""-""",&quot;35S&quot;
&quot;VILLEBON-SUR-YVETTE&quot;,"""91""","""91661""",&quot;ONCODESIGN - CELLULAR BIOLOGY - RADIO-IMMUNO-ANALYSIS&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""3""","""0""","""-""","""125I"""
&quot;LES ULIS&quot;,"""91""","""91692""",&quot;IPSEN INNOVATION - HENRI BEAUFOUR INSTITUTE - Competent Department in Radiation Protection&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,059""","""0""","""-""","""125I"""
&quot;ROSCOFF&quot;,"""29""","""29239""",&quot;BIOLOGICAL STATION - UMR8227 - UMR7144&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,05""","""0""","""-""","&quot;32P,35S&quot;"
"""LYON""","""69""","""69123""",&quot;CNRS - DR7 - PROTEIN BIOLOGY AND CHEMISTRY INSTITUTE - UMS 3760&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""32P"""
"""CAEN""","""14""","""14118""",&quot;University of Caen Basse-Normandie - Pole of Radiation Protection - IMOGERE Technical Platform&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,98""","""0""","""-""","""32P,35S,125I"""
&quot;VANDOEUVRE-LES-NANCY&quot;,"""54""","""54547""",&quot;UNIVERSITY OF LORRAINE - UMR 7365 CNRS - MOLECULAR ENGINEERING AND JOINT PHYSIOPATHOLOGY (IMOPA)&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,5""","""0""","""-""","&quot;32P,35S&quot;"
&quot;NANTES&quot;,"""44""","""44109""",&quot;UNIVERSITY OF NANTES - EMN - IN2P3 - ARMINES - IN2P3 - CNRS - LABO. SUBATOMIC PHYSICS AND TECHNOLOGIES ASSOCIATES (SUBATECH)&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,2""","""0""","""-""","&quot;95Zr,123I,125I,131I,99mTc&quot;"
"""NICE""","""6""","""6088""","&quot;UNIVERSITY COTE D&#39;AZUR - FACULTY OF MEDICINE - IRCAN INSERM U1081, CNRS UMR 7284&quot;","""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,44""","""0""","""-""","""32P"""
"""NICE""","""6""","""6088""",&quot;NICE CHU - ARCHET HOSPITAL - INSERM UMR 1065 C3M - ARCHIMED BUILDING&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,1""","""0""","""-""","""32P"""
&quot;VALBONNE&quot;,"""6""","""6152""",&quot;CNRS - UNIVERSITY OF NICE SOPHIA-ANTIPOLIS (UNSA) - CNRS - INSTITUTE OF PHARMACOLOGY - UMR 7275 - BIOLOGICAL RESEARCH&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,6""","""0""","""-""","""32P,35S,125I"""
&quot;MONT-SAINT-AIGNAN&quot;,"""76""","""76451""",&quot;UNIVERSITY OF ROUEN - INSERM - U1239&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""125I"""
&quot;THE HEAD&quot;,"""38""","""38516""",&quot;UNIVERSITY OF GRENOBLES ALPES - FACULTY OF MEDICINE OF GRENOBLE - INSERM U1039 - BIOCLINICAL RADIOPHARMACEUTICALS&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,4""","""0""","""-""","&quot;18F,68Ga,125I,201Tl,99mTc,177Lu&quot;"
&quot;ILLKIRCH-GRAFFENSTADEN&quot;,"""67""","""67218""",&quot;UNIVERSITY OF STRASBOURG - IREBS - UMR 7242&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,18""","""0""","""-""","""32P,35S,125I"""
&quot;ILLKIRCH-GRAFFENSTADEN&quot;,"""67""","""67218""",&quot;UNIVERSITY OF STRASBOURG - IGBMC - INSERM U1258 - CNRS UMR 7104&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,6""","""0""","""-""","""32P"""
"""STRASBOURG""","""67""","""67482""",&quot;UNIVERSITE DE STRASBOURG - CNRS - INSTITUT DE BIOLOGY MOLECULAR DES PLANTES (IBMP) - UPR 2357&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,115""","""0""","""-""","&quot;32P,35S&quot;"
"""STRASBOURG""","""67""","""67482""",&quot;INSTITUT DE BIOLOGY MOLECULAR ET CELLULAR (IBMC) - CNRS - UPR 9002 ARCHITECTURE ET REACTIVITE DE L&#39;ARN&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,12""","""0""","""-""","&quot;32P,35S&quot;"
"""PARIS 06""","""75""","""75106""",&quot;UNIVERSITY OF PARIS V - RENE DESCARTES - FACULTY OF PHARMACY - CNRS - UMR 8015 LABORATORY OF BIOLOGICAL CRISTALLOGRAPHY AND NMR&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,05""","""0""","""-""","&quot;32P,35S&quot;"
"""PARIS 05""","""75""","""75105""",&quot;SURBONNE UNIVERSITY - JUSSIEU CAMPUS - ER3 - UR4 - UMR 7224 - UMR 7195 - UMR 7622&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""2,23""","""0""","""-""","&quot;32P,33P,35S,125I&quot;"
&quot;VILLEFRANCHE SUR MER&quot;,"""6""","""6159""",&quot;CNRS-SORBONNE UNIVERSITY - IMEV-UMR7009 DEVELOPMENTAL BIOLOGY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,015""","""0""","""-""","&quot;32P,35S&quot;"
"""BORDEAUX""","""33""","""33063""",&quot;UNIVERSITY OF BORDEAUX - FUNDAMENTAL MICROBIOLOGY AND PATHOGENICITY - UMR CNRS 5234&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,12""","""0""","""-""","""32P"""
&quot;BOURG-EN-BRESSE&quot;,"""1""","""1053""",&quot;INOL NUCLEAR IMAGING OF WEST LYONNAIS AND AIN - NUCLEAR MEDICINE - BOURG EN BRESSE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,4""","""0""","""-""","&quot;18F,131I,99mTc&quot;"
&quot;SOISSONS&quot;,"""2""","""2722""",&quot;GIE GAMMA 02 - SCINTIGRAPHY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""5,75""","""0""","""-""","&quot;18F,67Ga,99Mo,111In,201Tl,99mTc&quot;"
&quot;SAINT QUENTIN&quot;,"""2""","""2691""",&quot;SAINT-CLAUDE ISOTOPIC EXPLORATION CENTER - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,1""","""0""","""-""","""18F,67Ga,111In,123I,201Tl,99mTc"""
"""MONTLUCON""","""3""","""3185""",&quot;HOSPITAL CENTER OF MONTLUCON - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""2,5""","""0""","""-""","&quot;99Mo,123I,99mTc&quot;"
"""NICE""","""6""","""6088""",&quot;NICE CHU - PASTEUR HOSPITAL - BIOCHEMISTRY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,46""","""0""","""-""","""125I"""
&quot;SAINT-LAURENT-DU-VAR&quot;,"""6""","""6123""",&quot;ARNAULT TZANCK INSTITUTE - SCINTIGRAPHY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,1""","""0""","""-""","&quot;99Mo,111In,123I,99mTc&quot;"
&quot;RODEZ&quot;,"""12""","""12202""",&quot;JACQUES PUEL HOSPITAL CENTER - NUCLEAR MEDICINE DEPARTMENT&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""7""","""0""","""-""","""18F,123I,131I,201Tl,99mTc"""
&quot;AIX EN PROVENCE&quot;,"""13""","""13001""",&quot;HOSPITAL CENTER OF PAYS D&#39;AIX - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","&quot;18F,123I,99mTc&quot;"
"""MARSEILLE""","""13""","""13055""",&quot;APHM - CHU DE LA TIMONE - CENTRAL DEPARTMENT OF BIOPHYSICS AND NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY - RADIOANALYSIS&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""61,95""","""0""","""-""","""111In,123I,125I,131I,201Tl,99mTc"""
"""MARSEILLE""","""13""","""13055""",&quot;APHM - CHU NORD - NUCLEAR MEDICINE SERVICE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""2,5""","""0""","""-""","&quot;67Ga,111In,201Tl,99mTc&quot;"
&quot;IN PRISON&quot;,"""13""","""13005""",&quot;SCINTI 13 PRIVATE HOSPITAL LA CASAMANCE - NUCLEAR MEDICINE / PHARMACOLOGY / RADIOTHERAPY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""7,5""","""0""","""-""","""18F,201Tl,99mTc"""
"""CAEN""","""14""","""14118""",&quot;FRANCOIS BACLESSE CENTER - CENTER FOR RESEARCH AND THE FIGHT AGAINST CANCER - NUCLEAR MEDICINE - TOXEMAC - RADIOTHERAPY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""30""","""0""","""-""","""18F,32P,111In,131I,99mTc,177Lu"""
"""CAEN""","""14""","""14118""",&quot;CHU DE CAEN - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,3""","""0""","""-""","""67Ga,111In,123I,131I,201Tl,99mTc"""
"""CAEN""","""14""","""14118""",&quot;PARK POLYCLINIC - NUCLEAR MEDICINE DEPARTMENT&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""22""","""0""","""-""",&quot;99mTc&quot;
&quot;SAINT MICHEL&quot;,"""16""","""31505""",&quot;ANGOULEME HOSPITAL CENTER - GIRAC HOSPITAL - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""6""","""0""","""-""","&quot;201Tl,99mTc&quot;"
&quot;LA ROCHELLE&quot;,"""17""","""17300""",&quot;RADIOISOTOPIC IMAGING CENTER (CIRI) - NUCLEAR MEDICINE LA ROCHELLE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,5""","""0""","""-""","""18F,67Ga,111In,123I,131I,99mTc"""
"""SAINT-DOULCHARD""","""18""","""18205""",&quot;SCM INOV - SCINTIGRAPHY AND NUCLEAR MEDICINE SERVICES - GUILLAUME DE VARYE CLINIC&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""5""","""0""","""-""","&quot;18F,123I,99mTc&quot;"
&quot;Ajaccio&quot;,&quot;2A&quot;,&quot;2A004&quot;,&quot;GIP Nuclear Medicine CHD CASTELLUCCIO - Scintigraphy service&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""3""","""0""","""-""",&quot;99mTc&quot;
"""DIJON""","""21""","""21231""",&quot;GEORGES-FRANCOIS LECLERC CENTER - REGIONAL CENTER FOR THE FIGHT AGAINST CANCER - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""62,5""","""0""","""-""","""111In,123I,131I,201Tl,99mTc,177Lu"""
"""DIJON""","""21""","""21231""",&quot;DIJON CHU - BOCAGE HOSPITAL - HOSPITALIZATION DEPARTMENT&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""2""","""0""","""-""","&quot;129I,99mTc,90Y,177Lu&quot;"
&quot;SAINT BRIEUC&quot;,"""22""","""22278""",&quot;HOSPITAL CENTER OF SAINT-BRIEUC - YVES LE FOLL HOSPITAL - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""10""","""0""","""-""","""67Ga,111In,123I,131I,201Tl,99mTc"""
&quot;PERIGUEUX&quot;,"""24""","""24322""",&quot;FRANCHEVILLE NUCLEAR MEDICINE CENTER - FRANCHEVILLE POLYCLINIC - SCINTIGRAPHY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""1""","""0""","""-""","""67Ga,111In,131I,201Tl,99mTc"""
"""TREVENANS""","""90""","""90097""",&quot;GIE NUCLEAR MEDICINE - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""20""","""0""","""-""","""18F,111In,123I,131I,201Tl,99mTc"""
"""VALENCE""","""26""","""26362""",&quot;VALENCE HOSPITAL CENTER - NUCLEAR MEDICINE - SCINTIGRAPHY - RADIOTHERAPY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,38""","""0""","""-""","""18F,111In,123I,131I,201Tl,99mTc"""
&quot;EVREUX&quot;,"""27""","""27229""",&quot;BERGOUIGNAN CLINIC - NUCLEAR MEDICINE - SCINTIGRAPHY&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,3""","""0""","""-""","&quot;201Tl,99mTc&quot;"
&quot;EVREUX&quot;,"""27""","""27229""",&quot;EUROIS MEDICAL IMAGING GROUP - NUCLEAR MEDICINE&quot;,"""0""","""0""",&quot;DGD - Decrease in managed waste&quot;,&quot;VTC&quot;,&quot;DGD&quot;,"""0,5""","""0""","""-""","&quot;201Tl,99mTc&quot;"
